Trademark.Cultivar,Species,Flower type,Date,Color,Note,Days Blooming,Ideal start date,Ideal end date,Source
Annabelle,Hydrangea arborescens,Mop,2020-07-23,,"All dates changed to the same year; these are the range of dates where we found insects visiting these plants across 2019 , 2020, 2021, 2024",6,,,
Annabelle,Hydrangea arborescens,Mop,2020-07-29,,"All dates changed to the same year; these are the range of dates where we found insects visiting these plants across 2019 , 2020, 2021, 2024",6,,,
Baby Lace,Hydrangea paniculata,Lacy panicle,2020-07-25,White,,86,,,
Baby Lace,Hydrangea paniculata,Lacy panicle,2020-10-19,White,,86,,,
Bella Anna,Hydrangea arborescens,Mop,2020-07-17,,,9,,,
Bella Anna,Hydrangea arborescens,Mop,2020-07-26,,,9,,,
Berry White,Hydrangea arborescens,Mop,2020-07-26,,,6,,,
Berry White,Hydrangea arborescens,Mop,2020-08-01,,,6,,,
Big Ben,Hydrangea paniculata,Lacy panicle,2020-08-28,White,,52,,,
Big Ben,Hydrangea paniculata,Lacy panicle,2020-10-19,White,,52,,,
Bobo,Hydrangea paniculata,Mop-like panicle,2020-07-17,,,35,,,
Bobo,Hydrangea paniculata,Mop-like panicle,2020-08-21,,,35,,,
Bounty,Hydrangea arborescens,Mop,2020-07-23,,,6,,,
Bounty,Hydrangea arborescens,Mop,2020-07-29,,,6,,,
Brussels Lace,Hydrangea paniculata,Lacy panicle,2020-08-02,White,,78,,,
Brussels Lace,Hydrangea paniculata,Lacy panicle,2020-10-19,White,,78,,,
Candy Apple,Hydrangea paniculata,Mop-like panicle,2020-07-25,,,35,,,
Candy Apple,Hydrangea paniculata,Mop-like panicle,2020-08-29,,,35,,,
Daimond Rogue,Hydrangea paniculata,Mop-like panicle,2020-07-10,Pink-white,,97,,,
Daimond Rogue,Hydrangea paniculata,Mop-like panicle,2020-10-15,Pink-white,,97,,,
Dharuma,Hydrangea paniculata,Lacy panicle,2020-07-08,White,,25,,,
Dharuma,Hydrangea paniculata,Lacy panicle,2020-08-02,White,,25,,,
Dolly,Hydrangea paniculata,Lacy panicle,2020-07-16,White,,69,,,
Dolly,Hydrangea paniculata,Lacy panicle,2020-09-23,White,,69,,,
Early Evolution ,Hydrangea paniculata,Lacy panicle,2020-07-18,,,14,,,
Early Evolution ,Hydrangea paniculata,Lacy panicle,2020-08-01,,,14,,,
Fire & Ice,Hydrangea paniculata,Lacy panicle,2020-07-09,Pink-white,,29,,,
Fire & Ice,Hydrangea paniculata,Lacy panicle,2020-08-07,Pink-white,,29,,,
Fire Light,Hydrangea paniculata,Mop-like panicle,2020-07-17,Pink,,85,,,
Fire Light,Hydrangea paniculata,Mop-like panicle,2020-10-10,Pink,,85,,,
Floribunda,Hydrangea paniculata,Lacy panicle,2020-08-08,White,,72,,,
Floribunda,Hydrangea paniculata,Lacy panicle,2020-10-19,White,,72,,,
Great Star,Hydrangea paniculata,Lacy panicle,2020-08-01,White,,81,,,
Great Star,Hydrangea paniculata,Lacy panicle,2020-10-21,White,,81,,,
Green Spire,Hydrangea paniculata,Lacy panicle,2020-08-05,Green-white,,75,,,
Green Spire,Hydrangea paniculata,Lacy panicle,2020-10-19,Green-white,,75,,,
Haas Halo,Hydrangea arborescens,Lacy,2020-07-17,,,41,,,
Haas Halo,Hydrangea arborescens,Lacy,2020-08-27,,,41,,,
Hayes Starburst,Hydrangea arborescens,Mop,2020-07-23,,,1,,,
Hayes Starburst,Hydrangea arborescens,Mop,2020-07-24,,,1,,,
Honey Comb,Hydrangea paniculata,Lacy panicle,2020-07-25,White,,86,,,
Honey Comb,Hydrangea paniculata,Lacy panicle,2020-10-19,White,,86,,,
Incrediball,Hydrangea arborescens,Mop,2020-07-17,,,8,,,
Incrediball,Hydrangea arborescens,Mop,2020-07-25,,,8,,,
Incredibelle,Hydrangea arborescens,Mop,2020-07-03,,,0,,,
Incredibelle,Hydrangea arborescens,Mop,2020-07-04,,,0,,,
Invincibelle Spirit,Hydrangea arborescens,Mop,2020-07-29,,,16,,,
Invincibelle Spirit,Hydrangea arborescens,Mop,2020-08-14,,,16,,,
Kyushu,Hydrangea paniculata,Lacy panicle,2020-07-18,White,,95,,,
Kyushu,Hydrangea paniculata,Lacy panicle,2020-10-21,White,,95,,,
Late,Hydrangea paniculata,Lacy panicle,2020-08-17,White,,65,,,
Late,Hydrangea paniculata,Lacy panicle,2020-10-21,White,,65,,,
Limelight,Hydrangea paniculata,Mop-like panicle,2020-08-08,Green-white,,53,,,
Limelight,Hydrangea paniculata,Mop-like panicle,2020-09-30,Green-white,,53,,,
Limelight Prime,Hydrangea paniculata,Mop-like panicle,2020-07-26,,,14,,,
Limelight Prime,Hydrangea paniculata,Mop-like panicle,2020-08-09,,,14,,,
Little Lamb,Hydrangea paniculata,Mop-like panicle,2020-07-17,White,,94,,,
Little Lamb,Hydrangea paniculata,Mop-like panicle,2020-10-19,White,,94,,,
Little Lime,Hydrangea paniculata,Mop-like panicle,2020-08-05,Green-white,,1,,,
Little Lime,Hydrangea paniculata,Mop-like panicle,2020-08-06,Green-white,,1,,,
Little Lime Punch,Hydrangea paniculata,Mop-like panicle,2020-07-26,,,6,,,
Little Lime Punch,Hydrangea paniculata,Mop-like panicle,2020-08-01,,,6,,,
Little Quick Fire,Hydrangea paniculata,Lacy panicle,2020-07-15,Pink,,96,,,
Little Quick Fire,Hydrangea paniculata,Lacy panicle,2020-10-19,Pink,,96,,,
Mega Mindy,Hydrangea paniculata,Lacy panicle,2020-08-19,Pink,,17,,,
Mega Mindy,Hydrangea paniculata,Lacy panicle,2020-09-05,Pink,,17,,,
Mega Pearl,Hydrangea paniculata,Mop-like panicle,2020-07-10,Pink-white,,101,,,
Mega Pearl,Hydrangea paniculata,Mop-like panicle,2020-10-19,Pink-white,,101,,,
Phantom,Hydrangea paniculata,Mop-like panicle,2020-08-01,White,,49,,,
Phantom,Hydrangea paniculata,Mop-like panicle,2020-09-19,White,,49,,,
Pillow Talk,Hydrangea paniculata,Mop-like panicle,2020-07-29,Pink-white,,77,,,
Pillow Talk,Hydrangea paniculata,Mop-like panicle,2020-10-14,Pink-white,,77,,,
Pink Diamond,Hydrangea paniculata,Lacy panicle,2020-08-02,Pink,,78,,,
Pink Diamond,Hydrangea paniculata,Lacy panicle,2020-10-19,Pink,,78,,,
Pink Lady,Hydrangea paniculata,Mop-like panicle,2020-07-25,Pink-white,,37,,,
Pink Lady,Hydrangea paniculata,Mop-like panicle,2020-08-31,Pink-white,,37,,,
Pink Pincushion ,Hydrangea arborescens,Lacy,2020-07-17,,,1,,,
Pink Pincushion ,Hydrangea arborescens,Lacy,2020-07-18,,,1,,,
Pinky Winky,Hydrangea paniculata,Lacy panicle,2020-07-17,Pink-white,,94,,,
Pinky Winky,Hydrangea paniculata,Lacy panicle,2020-10-19,Pink-white,,94,,,
Polar Ball,Hydrangea paniculata,Mop-like panicle,2020-07-26,White,,59,,,
Polar Ball,Hydrangea paniculata,Mop-like panicle,2020-09-23,White,,59,,,
Puffer Fish,Hydrangea paniculata,Mop-like panicle,2020-07-18,,,26,,,
Puffer Fish,Hydrangea paniculata,Mop-like panicle,2020-08-13,,,26,,,
Quick Fire,Hydrangea paniculata,Lacy panicle,2020-07-08,Pink,,103,,,
Quick Fire,Hydrangea paniculata,Lacy panicle,2020-10-19,Pink,,103,,,
Quick Fire Fabulous,Hydrangea paniculata,Mop-like panicle,2020-07-26,,,14,,,
Quick Fire Fabulous,Hydrangea paniculata,Mop-like panicle,2020-08-09,,,14,,,
Riven Lace,Hydrangea arborescens,Lacy,2020-07-23,,,1,,,
Riven Lace,Hydrangea arborescens,Lacy,2020-07-24,,,1,,,
Ruby,Hydrangea paniculata,Mop-like panicle,2020-07-26,Pink,,80,,,
Ruby,Hydrangea paniculata,Mop-like panicle,2020-10-14,Pink,,80,,,
Ryan Gainey,Hydrangea arborescens,Mop,2020-07-29,,,1,,,
Ryan Gainey,Hydrangea arborescens,Mop,2020-07-30,,,1,,,
Seaside Serenade Bar Harbor,Hydrangea arborescens,Mop,2020-07-10,,,20,,,
Seaside Serenade Bar Harbor,Hydrangea arborescens,Mop,2020-07-30,,,20,,,
Silver Dollar,Hydrangea paniculata,Mop-like panicle,2020-07-26,White,,34,,,
Silver Dollar,Hydrangea paniculata,Mop-like panicle,2020-08-29,White,,34,,,
Silver Leaf,Hydrangea arborescens,Lacy,2020-07-03,,,30,,,
Silver Leaf,Hydrangea arborescens,Lacy,2020-08-02,,,30,,,
Strawberry Shake,Hydrangea paniculata,Mop-like panicle,2020-07-10,Pink-white,,41,,,
Strawberry Shake,Hydrangea paniculata,Mop-like panicle,2020-08-20,Pink-white,,41,,,
Strawberry Sundae,Hydrangea paniculata,Mop-like panicle,2020-07-18,Pink-white,,42,,,
Strawberry Sundae,Hydrangea paniculata,Mop-like panicle,2020-08-29,Pink-white,,42,,,
Sweet Summer,Hydrangea paniculata,Mop-like panicle,2020-07-25,White,Arguably 10/19 was an outlier and we should go with 9/19/2020,86,,,
Sweet Summer,Hydrangea paniculata,Mop-like panicle,2020-10-19,White,Arguably 10/19 was an outlier and we should go with 9/19/2020,86,,,
Tickled Pink,Hydrangea paniculata,Lacy panicle,2020-08-01,Pink-white,,32,,,
Tickled Pink,Hydrangea paniculata,Lacy panicle,2020-09-02,Pink-white,,32,,,
Unique,Hydrangea paniculata,Lacy panicle,2020-08-29,White,,1,,,
Unique,Hydrangea paniculata,Lacy panicle,2020-08-30,White,,1,,,
Vanilla Strawberry,Hydrangea paniculata,Mop-like panicle,2020-07-26,Pink-white,,57,,,
Vanilla Strawberry,Hydrangea paniculata,Mop-like panicle,2020-09-21,Pink-white,,57,,,
White Diamonds,Hydrangea paniculata,Mop-like panicle,2020-07-10,White,,82,,,
White Diamonds,Hydrangea paniculata,Mop-like panicle,2020-09-30,White,,82,,,
White Moth,Hydrangea paniculata,Lacy panicle,2020-07-31,White,,5,,,
White Moth,Hydrangea paniculata,Lacy panicle,2020-08-05,White,,5,,,
Zinfin Doll,Hydrangea paniculata,Mop-like panicle,2020-08-01,,,1,,,
Zinfin Doll,Hydrangea paniculata,Mop-like panicle,2020-08-02,,,1,,,
