,Date,Month,Tag.Number,Collector,Cultivar ,Species,AscensionNumber,Inflorescence.Type,False.Sepals,Flower.Type,Flower.shape,PaniclesPerTransect,TotalPaniclesA,AvgInflorescencesPerPanicle,transects_per_plant,TotalPaniclesB,TotalInflorescences_A,TotalInflorescences_B,TotalInflorescences_AB,Start.Time,End.Time,Rain,Wind,Cloud,TempF,InsectRichness,Araneae,Chauliognathus,Cerambycidae,Chrysomelidae,Curculionidae,Mordellidae,Scarabaeoidea,Diptera,Bombyliidae,Calliphoridae,Conopidae,Cecidomyiidae,Culicidae,Dolichopodidae,Drosophilidae,Empididae,Muscidae,Oestroidea,Syrphidae_total,Unknown_Bristly_Flies,Tipulidae,Ulidiidae,Hemiptera,Aphididae,Cicadellidae,Miridae,Reduviidae,Hymenoptera,Xylocopa,Andrenidae,Protandrena,Apis.mellifera,Melissodes,Cerceris,Astata,Chrysididae,Hylaeus,Halictidae,Agapostemon,Augochlora,Green.Sweatbee,Halictus,Lasioglossum,Bombus affinis,Bombus auricomus,Bombus impatiens,Bombus bimaculatus,Bombus griseocollis,Bombus vagans,Symmorphus,Eurytoma,Braconidae,Apocrita,Scolia,Sphecius speciosus,Sphex,Vespidae,Dolichovespula.maculata,Dolichovespula,Lepidoptera,Hesperiidae,Celastrina ladon,Epargyreus clarus,Libythean carinenta,Pieris rapae,Polygonia comma,Vanessa atalanta,Notes
1,45483,Jul,11A,E. Braatz,Dharuma,Hydrangea paniculata,5026,Open,4,Lacy panicle,Lacy,,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,0.526388889,0.529861111,0,1,40,73,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2,45483,Jul,11E,E. Braatz,Seaside Serenade Bar,Hydrangea arborescens,19008B,Dense,4,Mop,Mop,,NA,388.8,8.3053,0,0,0,NA,0.582638889,0.586111111,0,2,40,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,45483,Jul,1A,E. Braatz,Strawberry Shake,Hydrangea paniculata,18031B,Very dense,4,Mop-like panicle,Mop,,NA,68.4,4.148843315,0,0,0,NA,0.497222222,0.500694444,0,1,10,72,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
4,45483,Jul,4A,E. Braatz,White Diamonds,Hydrangea paniculata,11045,Half-open,4,Mop-like panicle,Mop,,NA,31,9.0432,0,0,0,NA,0.508333333,0.511805556,0,1,10,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
5,45483,Jul,5A,E. Braatz,Quick Fire,Hydrangea paniculata,5079,Open,4,Lacy panicle,Lacy,,NA,98.6,14.13,0,0,0,NA,0.4875,0.490972222,0,1,10,72,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,45483,Jul,8A,E. Braatz,Mega Pearl,Hydrangea paniculata,1128,Dense,4,Mop-like panicle,Mop,,NA,36.1,8.3053,0,0,0,NA,0.518055556,0.521527778,0,1,40,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,45483,Jul,9A,E. Braatz,Fire & Ice,Hydrangea paniculata,12021,Open,4,Lacy panicle,Lacy,,NA,97.8,6.28,0,0,0,NA,0.477777778,0.490972222,0,1,10,72,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
8,45486,Jul,12F,E. Braatz,White Dome,Hydrangea arborescens,2068,Open,4,Lacy,Lacy,,NA,278.5,#VALUE!,,,,,NA,NA,NA,NA,NA,NA,9,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
9,45490,Jul,10C,E. Braatz,Fire Light,Hydrangea paniculata,14026,Dense,4,Mop-like panicle,Mop,,NA,76.5,8.573195757,0,0,0,NA,0.435416667,0.438888889,0,2,0,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,45490,Jul,10D,E. Braatz,Daimond Rogue,Hydrangea paniculata,17047,Half-open,4,Mop-like panicle,Mop,,NA,109,9.334897459,0,0,0,NA,0.658333333,0.661805556,0,2,40,77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,45490,Jul,10D,E. Braatz,Daimond Rogue,Hydrangea paniculata,17047,Half-open,4,Mop-like panicle,Mop,,NA,109,9.334897459,0,0,0,NA,0.658333333,0.661805556,0,2,40,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,45490,Jul,11C,E. Braatz,Little Quick Fire,Hydrangea paniculata,14010,Open,4,Lacy panicle,Lacy,,NA,59.7,5.546646971,0,0,0,NA,0.423611111,0.427083333,0,2,0,71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
13,45490,Jul,12F,E. Braatz,White Dome,Hydrangea arborescens,2068,Open,4,Lacy,Lacy,,NA,278.5,#VALUE!,#VALUE!,0,#VALUE!,NA,0.496527778,0.5,0,1,20,73,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,45490,Jul,13C,E. Braatz,Fire Light,Hydrangea paniculata,18008B,Very dense,NA,Mop-like panicle,Mop,,NA,71.4,8.949995003,0,0,0,NA,0.396527778,0.4,0,2,0,71,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,45490,Jul,14C,E. Braatz,Fire Light,Hydrangea paniculata,18008A,Dense,4,Mop-like panicle,Mop,,NA,94.3,8.573195757,0,0,0,NA,0.40625,0.409722222,0,2,0,71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
16,45490,Jul,16C,E. Braatz,Quick Fire,Hydrangea paniculata,14001,Open,4,Lacy panicle,Lacy,,NA,25.9,8.20449972,0,0,0,NA,0.646527778,0.65,0,2,25,73,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,45490,Jul,16C,E. Braatz,Quick Fire,Hydrangea paniculata,14001,Open,4,Lacy panicle,Lacy,,NA,25.9,8.20449972,0,0,0,NA,0.468055556,0.471527778,0,2,5,73,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goldenrod soldier beetles
18,45490,Jul,18D,E. Braatz,Bobo,Hydrangea paniculata,12031B,Half-open,4,Mop-like panicle,Mop,,NA,72.1,6.162490901,0,0,0,NA,0.676388889,0.679861111,0,2,40,77,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,45490,Jul,2C,E. Braatz,Pinky Winky,Hydrangea paniculata,14022,Half-open,4,Mop-like panicle,Mop,,NA,47.1,5.546646971,0,0,0,NA,0.480555556,0.484027778,0,2,5,73,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,45490,Jul,2F,E. Braatz,Silver Leaf,Hydrangea arborescens,Unknown,Open,4,Lacy,Lacy,,NA,390.5,3.64644432,0,0,0,NA,0.55625,0.559722222,0,2,25,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Syrphid fly escaped
21,45490,Jul,2F,E. Braatz,Silver Leaf,Hydrangea arborescens,Unknown,Open,4,Lacy,Lacy,,NA,390.5,3.64644432,0,0,0,NA,0.55625,0.559722222,0,2,25,75,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Syrphid fly escaped
22,45490,Jul,4C,E. Braatz,Little Lamb,Hydrangea paniculata,4054,Very dense,4,Mop-like panicle,Mop,,NA,50,9.727903125,0,0,0,NA,0.454166667,0.457638889,0,2,5,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,45490,Jul,4F,E. Braatz,Haas Halo,Hydrangea arborescens,18022,Open,3,Lacy,Lacy,,NA,563.4285714,9.334897459,0,0,0,NA,0.580555556,0.584027778,0,2,25,75,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,45490,Jul,5F,E. Braatz,Bella Anna,Hydrangea arborescens,10067,Half-open,4,Mop,Mop,,NA,88,3.407399637,0,0,0,NA,0.595833333,0.599305556,0,2,25,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,45490,Jul,8C,E. Braatz,Strawberry Shake,Hydrangea paniculata,18031A,Very dense,4,Mop-like panicle,Mop,,NA,27.1,5.250879821,0,0,0,NA,0.445833333,0.45625,0,2,5,73,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Syrphid
26,45490,Jul,9F,E. Braatz,Incrediball,Hydrangea arborescens,9050,Dense,3,Mop,Mop,,NA,557.4,13.163664,0,0,0,NA,0.604861111,0.609027778,0,2,25,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,45491,Jul,11D,E. Braatz,Kyushu,Hydrangea paniculata,93021,Open,NA,Lacy panicle,Lacy,,NA,404.7,9.334897459,0,0,0,NA,0.514583333,0.518055556,0,2,65,70,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,45491,Jul,19D,E. Braatz,Puffer Fish,Hydrangea paniculata,2023-030,Half-open,4,Mop-like panicle,Mop,,NA,55.8,2.333724365,0,0,0,NA,0.542361111,0.545833333,0,2,65,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 Golden digger waps
29,45491,Jul,20D,E. Braatz,Early Evolution,Hydrangea paniculata,2023-026A,Open,4,Lacy panicle,Lacy,,NA,NA,1.037210829,0,#VALUE!,#VALUE!,NA,0.525,0.528472222,0,2,65,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,45491,Jul,5B,E. Braatz,Dharuma,Hydrangea paniculata,5026,Open,4,Lacy panicle,Lacy,,NA,5.5,0.906832,0,0,0,NA,0.542361111,0.545833333,0,2,35,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,45491,Jul,6D,E. Braatz,Strawberry Sundae,Hydrangea paniculata,15055,Dense,4,Mop-like panicle,Mop,,NA,42.8,11.8144796,0,0,0,NA,0.535416667,0.538888889,0,2,65,70,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,45493,Jul,4A,E. Braatz,White Diamonds,Hydrangea paniculata,11045,Half-open,4,Mop-like panicle,Mop,,NA,31,9.0432,,,,,NA,NA,NA,NA,NA,NA,9,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,45495,Jul,10E,E. Braatz,Incrediball,Hydrangea arborescens,9050,Dense,4,Mop,Mop,9.33,NA,1180.7,9.0432,84.373056,0,99619.26722,99619.26722,0.46875,0.472222222,0,1,5,78,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vespidae
34,45495,Jul,9A,G. Meneses,Fire & Ice,Hydrangea paniculata,12021,Open,4,Lacy panicle,Lacy,12.3,NA,97.8,6.28,77.244,0,7554.4632,7554.4632,0.665277778,0.66875,0,1,75,79,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,45496,Jul,3E,E. Braatz,Bounty,Hydrangea arborescens,12019,Half-open,4,Mop,Mop,5.6,NA,528.4,17.0973,95.74488,0,50591.59459,50591.59459,0.5625,0.565972222,0,1,100,77,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,45496,Jul,4E,E. Braatz,Hayes Starburst,Hydrangea arborescens,7027,Very dense,8,Mop,Mop,5,NA,0,6.28,31.4,0,0,0,0.553472222,0.556944444,0,1,100,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,45496,Jul,5E,E. Braatz,Annabelle,Hydrangea arborescens,65169,Dense,4,Mop,Mop,7,NA,478.5,36.1728,253.2096,0,121160.7936,121160.7936,0.582638889,0.586111111,0,1,100,77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,45496,Jul,6E,E. Braatz,Riven Lace,Hydrangea arborescens,8036,Half-open,4,Lacy,Lacy,8.33,NA,97.5,12.3088,102.532304,0,9996.89964,9996.89964,0.480555556,0.484027778,0,1,100,74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,45496,Jul,6E,E. Braatz,Riven Lace,Hydrangea arborescens,8036,Half-open,4,Lacy,Lacy,8.33,NA,97.5,12.3088,102.532304,0,9996.89964,9996.89964,0.480555556,0.484027778,0,1,100,74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,45498,Jul,10B,E. Braatz,Pink Lady,Hydrangea paniculata,1005,Dense,4,Mop-like panicle,Mop,5,NA,125.2,3.820752,19.10376,0,2391.790752,2391.790752,0.711805556,0.715277778,0,1,35,79,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,45498,Jul,11A,E. Braatz,Dharuma,Hydrangea paniculata,5026,Open,4,Lacy panicle,Lacy,33,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,0.548611111,0.552083333,0,1,40,77,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,45498,Jul,12A,E. Braatz,Candy Apple,Hydrangea paniculata,20012,Dense,4,Mop-like panicle,Mop,11.3,NA,#N/A,#N/A,#N/A,#N/A,#N/A,NA,0.615277778,0.61875,0,2,35,78,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
44,45498,Jul,13B,E. Braatz,Pinky Winky,Hydrangea paniculata,7045,Dense,5,Lacy panicle,Lacy,3,NA,91.2,1.698112,5.094336,0,464.6034432,464.6034432,0.745833333,0.749305556,0,1,35,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,45498,Jul,19B,E. Braatz,Little Quick Fire,Hydrangea paniculata,14010,Open,NA,Lacy panicle,Lacy,17.3,NA,69.4,4.0192,69.53216,0,4825.531904,4825.531904,0.704166667,0.707638889,0,2,40,79,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,45498,Jul,1A,E. Braatz,Strawberry Shake,Hydrangea paniculata,18031B,Very dense,4,Mop-like panicle,Mop,19.6,NA,68.4,4.148843315,81.31732898,0,5562.105302,5562.105302,0.626388889,0.629861111,0,1,35,79,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
47,45498,Jul,3A,E. Braatz,Sweet Summer,Hydrangea paniculata,12022,Dense,4,Mop-like panicle,Mop,9,NA,361,8.3053,74.7477,0,26983.9197,26983.9197,0.634722222,0.638194444,0,1,35,79,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,45498,Jul,4A,E. Braatz,White Diamonds,Hydrangea paniculata,11045,Half-open,4,Mop-like panicle,Mop,,NA,31,9.0432,,,,,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
