Cultivar,BugType,RelativeAbundance,Species,Flower Type,Inflorescence Type
Annabelle,Beetle,0,Hydrangea arborescens,Mop,Dense
Baby Lace,Beetle,0,Hydrangea paniculata,Lacy panicle,Open
Bella Anna,Beetle,0,Hydrangea arborescens,Mop,Half-open
Berry White,Beetle,0,Hydrangea paniculata,Mop-like panicle,Half-open
Big Ben,Beetle,0,Hydrangea paniculata,Lacy panicle,Dense
Bobo,Beetle,0.5,Hydrangea paniculata,Mop-like panicle,Half-open
Bounty,Beetle,0,Hydrangea arborescens,Mop,Half-open
Brussels Lace,Beetle,4,Hydrangea paniculata,Lacy panicle,Open
Candy Apple,Beetle,1.666666667,Hydrangea paniculata,Mop-like panicle,Dense
Daimond Rogue,Beetle,0,Hydrangea paniculata,Mop-like panicle,Half-open
Dharuma,Beetle,0.5,Hydrangea paniculata,Lacy panicle,Open
Dolly,Beetle,0,Hydrangea paniculata,Lacy panicle,Dense
Early Evolution,Beetle,0,Hydrangea paniculata,Lacy panicle,Dense
Fire & Ice,Beetle,1,Hydrangea paniculata,Lacy panicle,Open
Fire Light,Beetle,1,Hydrangea paniculata,Mop-like panicle,Dense
Floribunda,Beetle,2,Hydrangea paniculata,Lacy panicle,Open
Great Star,Beetle,0,Hydrangea paniculata,Lacy panicle,Very dense
Green Spire,Beetle,0,Hydrangea paniculata,Lacy panicle,Open
Haas Halo,Beetle,3,Hydrangea arborescens,Lacy,Open
Hayes Starburst,Beetle,0,Hydrangea arborescens,Mop,Very dense
Honey Comb,Beetle,0,Hydrangea paniculata,Lacy panicle,Open
Incrediball,Beetle,0.25,Hydrangea arborescens,Mop,Dense
Invincibelle Ruby,Beetle,0,Hydrangea arborescens,Mop,Very dense
Invincibelle Mini Mauvette,Beetle,0,Hydrangea arborescens,Mop,Dense
Invincibelle Spirit II,Beetle,0,Hydrangea arborescens,Mop,Dense
Invincibelle Wee White,Beetle,0,Hydrangea arborescens,Mop,Dense
Kyushu,Beetle,0,Hydrangea paniculata,Lacy panicle,Open
Lime Rickey,Beetle,0,Hydrangea arborescens,Mop,Half-open
Limelight,Beetle,0,Hydrangea paniculata,Mop-like panicle,Very dense
Limelight Prime,Beetle,0,Hydrangea paniculata,Mop-like panicle,Half-open
Little Lamb,Beetle,0,Hydrangea paniculata,Mop-like panicle,Very dense
Little Lime,Beetle,1,Hydrangea paniculata,Mop-like panicle,Very dense
Little Lime Punch,Beetle,0,Hydrangea paniculata,Mop-like panicle,Half-open
Little Quick Fire,Beetle,0,Hydrangea paniculata,Lacy panicle,Open
Mega Pearl,Beetle,0,Hydrangea paniculata,Mop-like panicle,Dense
Phantom,Beetle,0.5,Hydrangea paniculata,Mop-like panicle,Half-open
Pillow Talk,Beetle,0,Hydrangea paniculata,Mop-like panicle,Very dense
Pink Diamond,Beetle,3,Hydrangea paniculata,Lacy panicle,Half-open
Pink Lady,Beetle,0,Hydrangea paniculata,Mop-like panicle,Dense
Pink Pincushion,Beetle,0,Hydrangea arborescens,Lacy,Half-open
Pinky Winky,Beetle,0,Hydrangea paniculata,Lacy panicle,Half-open
Polar Ball,Beetle,0,Hydrangea paniculata,Mop-like panicle,Very dense
Puffer Fish,Beetle,0,Hydrangea paniculata,Mop-like panicle,Half-open
Quick Fire,Beetle,0,Hydrangea paniculata,Lacy panicle,Open
Quick Fire Fabulous,Beetle,0,Hydrangea paniculata,Mop-like panicle,Dense
Riven Lace,Beetle,0,Hydrangea arborescens,Lacy,Half-open
Ruby,Beetle,0,Hydrangea paniculata,Mop-like panicle,Half-open
Ryan Gainey,Beetle,0,Hydrangea arborescens,Mop,Dense
Seaside Serenade Bar Harbor,Beetle,0,Hydrangea arborescens,Mop,Dense
Silver Dollar,Beetle,0,Hydrangea paniculata,Mop-like panicle,Dense
Silver Leaf,Beetle,0.5,Hydrangea arborescens,Lacy,Open
Strawberry Shake,Beetle,0,Hydrangea paniculata,Mop-like panicle,Very dense
Strawberry Sundae,Beetle,1.5,Hydrangea paniculata,Mop-like panicle,Open
Sweet Summer,Beetle,0,Hydrangea paniculata,Mop-like panicle,Dense
Tickled Pink,Beetle,0.5,Hydrangea paniculata,Lacy panicle,Half-open
Vanilla Strawberry,Beetle,0,Hydrangea paniculata,Mop-like panicle,Dense
White Diamonds,Beetle,6,Hydrangea paniculata,Mop-like panicle,Half-open
White Dome,Beetle,1,Hydrangea arborescens,Lacy,Open
Zinfin Doll,Beetle,0,Hydrangea paniculata,Mop-like panicle,Half-open
Annabelle,Fly,4,Hydrangea arborescens,Mop,Dense
Baby Lace,Fly,2,Hydrangea paniculata,Lacy panicle,Open
Bella Anna,Fly,2,Hydrangea arborescens,Mop,Half-open
Berry White,Fly,3,Hydrangea paniculata,Mop-like panicle,Half-open
Big Ben,Fly,0,Hydrangea paniculata,Lacy panicle,Dense
Bobo,Fly,6,Hydrangea paniculata,Mop-like panicle,Half-open
Bounty,Fly,1,Hydrangea arborescens,Mop,Half-open
Brussels Lace,Fly,5,Hydrangea paniculata,Lacy panicle,Open
Candy Apple,Fly,3.333333333,Hydrangea paniculata,Mop-like panicle,Dense
Daimond Rogue,Fly,4,Hydrangea paniculata,Mop-like panicle,Half-open
Dharuma,Fly,13,Hydrangea paniculata,Lacy panicle,Open
Dolly,Fly,9,Hydrangea paniculata,Lacy panicle,Dense
Early Evolution,Fly,1,Hydrangea paniculata,Lacy panicle,Dense
Fire & Ice,Fly,11,Hydrangea paniculata,Lacy panicle,Open
Fire Light,Fly,9.666666667,Hydrangea paniculata,Mop-like panicle,Dense
Floribunda,Fly,1,Hydrangea paniculata,Lacy panicle,Open
Great Star,Fly,4.5,Hydrangea paniculata,Lacy panicle,Very dense
Green Spire,Fly,0,Hydrangea paniculata,Lacy panicle,Open
Haas Halo,Fly,3,Hydrangea arborescens,Lacy,Open
Hayes Starburst,Fly,2,Hydrangea arborescens,Mop,Very dense
Honey Comb,Fly,2,Hydrangea paniculata,Lacy panicle,Open
Incrediball,Fly,1.5,Hydrangea arborescens,Mop,Dense
Invincibelle Ruby,Fly,4,Hydrangea arborescens,Mop,Very dense
Invincibelle Mini Mauvette,Fly,0,Hydrangea arborescens,Mop,Dense
Invincibelle Spirit II,Fly,1,Hydrangea arborescens,Mop,Dense
Invincibelle Wee White,Fly,0,Hydrangea arborescens,Mop,Dense
Kyushu,Fly,13,Hydrangea paniculata,Lacy panicle,Open
Lime Rickey,Fly,0,Hydrangea arborescens,Mop,Half-open
Limelight,Fly,4.5,Hydrangea paniculata,Mop-like panicle,Very dense
Limelight Prime,Fly,8,Hydrangea paniculata,Mop-like panicle,Half-open
Little Lamb,Fly,5,Hydrangea paniculata,Mop-like panicle,Very dense
Little Lime,Fly,3.5,Hydrangea paniculata,Mop-like panicle,Very dense
Little Lime Punch,Fly,1,Hydrangea paniculata,Mop-like panicle,Half-open
Little Quick Fire,Fly,7,Hydrangea paniculata,Lacy panicle,Open
Mega Pearl,Fly,11,Hydrangea paniculata,Mop-like panicle,Dense
Phantom,Fly,3,Hydrangea paniculata,Mop-like panicle,Half-open
Pillow Talk,Fly,3,Hydrangea paniculata,Mop-like panicle,Very dense
Pink Diamond,Fly,5,Hydrangea paniculata,Lacy panicle,Half-open
Pink Lady,Fly,5,Hydrangea paniculata,Mop-like panicle,Dense
Pink Pincushion,Fly,0,Hydrangea arborescens,Lacy,Half-open
Pinky Winky,Fly,4.333333333,Hydrangea paniculata,Lacy panicle,Half-open
Polar Ball,Fly,4,Hydrangea paniculata,Mop-like panicle,Very dense
Puffer Fish,Fly,11,Hydrangea paniculata,Mop-like panicle,Half-open
Quick Fire,Fly,10.66666667,Hydrangea paniculata,Lacy panicle,Open
Quick Fire Fabulous,Fly,2,Hydrangea paniculata,Mop-like panicle,Dense
Riven Lace,Fly,6,Hydrangea arborescens,Lacy,Half-open
Ruby,Fly,8.5,Hydrangea paniculata,Mop-like panicle,Half-open
Ryan Gainey,Fly,0,Hydrangea arborescens,Mop,Dense
Seaside Serenade Bar Harbor,Fly,2,Hydrangea arborescens,Mop,Dense
Silver Dollar,Fly,7,Hydrangea paniculata,Mop-like panicle,Dense
Silver Leaf,Fly,3.5,Hydrangea arborescens,Lacy,Open
Strawberry Shake,Fly,8.5,Hydrangea paniculata,Mop-like panicle,Very dense
Strawberry Sundae,Fly,10,Hydrangea paniculata,Mop-like panicle,Open
Sweet Summer,Fly,11,Hydrangea paniculata,Mop-like panicle,Dense
Tickled Pink,Fly,5,Hydrangea paniculata,Lacy panicle,Half-open
Vanilla Strawberry,Fly,6.5,Hydrangea paniculata,Mop-like panicle,Dense
White Diamonds,Fly,7,Hydrangea paniculata,Mop-like panicle,Half-open
White Dome,Fly,4,Hydrangea arborescens,Lacy,Open
Zinfin Doll,Fly,2,Hydrangea paniculata,Mop-like panicle,Half-open
Annabelle,TrueBug,0,Hydrangea arborescens,Mop,Dense
Baby Lace,TrueBug,0,Hydrangea paniculata,Lacy panicle,Open
Bella Anna,TrueBug,0,Hydrangea arborescens,Mop,Half-open
Berry White,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Half-open
Big Ben,TrueBug,0,Hydrangea paniculata,Lacy panicle,Dense
Bobo,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Half-open
Bounty,TrueBug,1,Hydrangea arborescens,Mop,Half-open
Brussels Lace,TrueBug,0,Hydrangea paniculata,Lacy panicle,Open
Candy Apple,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Dense
Daimond Rogue,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Half-open
Dharuma,TrueBug,0,Hydrangea paniculata,Lacy panicle,Open
Dolly,TrueBug,0,Hydrangea paniculata,Lacy panicle,Dense
Early Evolution,TrueBug,0,Hydrangea paniculata,Lacy panicle,Dense
Fire & Ice,TrueBug,0,Hydrangea paniculata,Lacy panicle,Open
Fire Light,TrueBug,1,Hydrangea paniculata,Mop-like panicle,Dense
Floribunda,TrueBug,0,Hydrangea paniculata,Lacy panicle,Open
Great Star,TrueBug,0,Hydrangea paniculata,Lacy panicle,Very dense
Green Spire,TrueBug,0,Hydrangea paniculata,Lacy panicle,Open
Haas Halo,TrueBug,0,Hydrangea arborescens,Lacy,Open
Hayes Starburst,TrueBug,0,Hydrangea arborescens,Mop,Very dense
Honey Comb,TrueBug,0,Hydrangea paniculata,Lacy panicle,Open
Incrediball,TrueBug,0,Hydrangea arborescens,Mop,Dense
Invincibelle Ruby,TrueBug,0,Hydrangea arborescens,Mop,Very dense
Invincibelle Mini Mauvette,TrueBug,0,Hydrangea arborescens,Mop,Dense
Invincibelle Spirit II,TrueBug,0,Hydrangea arborescens,Mop,Dense
Invincibelle Wee White,TrueBug,0,Hydrangea arborescens,Mop,Dense
Kyushu,TrueBug,0,Hydrangea paniculata,Lacy panicle,Open
Lime Rickey,TrueBug,0,Hydrangea arborescens,Mop,Half-open
Limelight,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Very dense
Limelight Prime,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Half-open
Little Lamb,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Very dense
Little Lime,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Very dense
Little Lime Punch,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Half-open
Little Quick Fire,TrueBug,0,Hydrangea paniculata,Lacy panicle,Open
Mega Pearl,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Dense
Phantom,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Half-open
Pillow Talk,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Very dense
Pink Diamond,TrueBug,1,Hydrangea paniculata,Lacy panicle,Half-open
Pink Lady,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Dense
Pink Pincushion,TrueBug,0,Hydrangea arborescens,Lacy,Half-open
Pinky Winky,TrueBug,0,Hydrangea paniculata,Lacy panicle,Half-open
Polar Ball,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Very dense
Puffer Fish,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Half-open
Quick Fire,TrueBug,0,Hydrangea paniculata,Lacy panicle,Open
Quick Fire Fabulous,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Dense
Riven Lace,TrueBug,1,Hydrangea arborescens,Lacy,Half-open
Ruby,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Half-open
Ryan Gainey,TrueBug,0,Hydrangea arborescens,Mop,Dense
Seaside Serenade Bar Harbor,TrueBug,0,Hydrangea arborescens,Mop,Dense
Silver Dollar,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Dense
Silver Leaf,TrueBug,0,Hydrangea arborescens,Lacy,Open
Strawberry Shake,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Very dense
Strawberry Sundae,TrueBug,0.5,Hydrangea paniculata,Mop-like panicle,Open
Sweet Summer,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Dense
Tickled Pink,TrueBug,0,Hydrangea paniculata,Lacy panicle,Half-open
Vanilla Strawberry,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Dense
White Diamonds,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Half-open
White Dome,TrueBug,1,Hydrangea arborescens,Lacy,Open
Zinfin Doll,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Half-open
Annabelle,Hymenoptera,0,Hydrangea arborescens,Mop,Dense
Baby Lace,Hymenoptera,11,Hydrangea paniculata,Lacy panicle,Open
Bella Anna,Hymenoptera,0,Hydrangea arborescens,Mop,Half-open
Berry White,Hymenoptera,2,Hydrangea paniculata,Mop-like panicle,Half-open
Big Ben,Hymenoptera,15,Hydrangea paniculata,Lacy panicle,Dense
Bobo,Hymenoptera,7,Hydrangea paniculata,Mop-like panicle,Half-open
Bounty,Hymenoptera,6,Hydrangea arborescens,Mop,Half-open
Brussels Lace,Hymenoptera,34,Hydrangea paniculata,Lacy panicle,Open
Candy Apple,Hymenoptera,10.66666667,Hydrangea paniculata,Mop-like panicle,Dense
Daimond Rogue,Hymenoptera,9,Hydrangea paniculata,Mop-like panicle,Half-open
Dharuma,Hymenoptera,29,Hydrangea paniculata,Lacy panicle,Open
Dolly,Hymenoptera,16,Hydrangea paniculata,Lacy panicle,Dense
Early Evolution,Hymenoptera,0.5,Hydrangea paniculata,Lacy panicle,Dense
Fire & Ice,Hymenoptera,23,Hydrangea paniculata,Lacy panicle,Open
Fire Light,Hymenoptera,13.33333333,Hydrangea paniculata,Mop-like panicle,Dense
Floribunda,Hymenoptera,16,Hydrangea paniculata,Lacy panicle,Open
Great Star,Hymenoptera,21,Hydrangea paniculata,Lacy panicle,Very dense
Green Spire,Hymenoptera,79,Hydrangea paniculata,Lacy panicle,Open
Haas Halo,Hymenoptera,30,Hydrangea arborescens,Lacy,Open
Hayes Starburst,Hymenoptera,0,Hydrangea arborescens,Mop,Very dense
Honey Comb,Hymenoptera,48,Hydrangea paniculata,Lacy panicle,Open
Incrediball,Hymenoptera,2.25,Hydrangea arborescens,Mop,Dense
Invincibelle Ruby,Hymenoptera,2,Hydrangea arborescens,Mop,Very dense
Invincibelle Mini Mauvette,Hymenoptera,0,Hydrangea arborescens,Mop,Dense
Invincibelle Spirit II,Hymenoptera,1.5,Hydrangea arborescens,Mop,Dense
Invincibelle Wee White,Hymenoptera,0,Hydrangea arborescens,Mop,Dense
Kyushu,Hymenoptera,41,Hydrangea paniculata,Lacy panicle,Open
Lime Rickey,Hymenoptera,0,Hydrangea arborescens,Mop,Half-open
Limelight,Hymenoptera,18,Hydrangea paniculata,Mop-like panicle,Very dense
Limelight Prime,Hymenoptera,3,Hydrangea paniculata,Mop-like panicle,Half-open
Little Lamb,Hymenoptera,18,Hydrangea paniculata,Mop-like panicle,Very dense
Little Lime,Hymenoptera,1.5,Hydrangea paniculata,Mop-like panicle,Very dense
Little Lime Punch,Hymenoptera,5,Hydrangea paniculata,Mop-like panicle,Half-open
Little Quick Fire,Hymenoptera,13,Hydrangea paniculata,Lacy panicle,Open
Mega Pearl,Hymenoptera,24,Hydrangea paniculata,Mop-like panicle,Dense
Phantom,Hymenoptera,23,Hydrangea paniculata,Mop-like panicle,Half-open
Pillow Talk,Hymenoptera,0,Hydrangea paniculata,Mop-like panicle,Very dense
Pink Diamond,Hymenoptera,57,Hydrangea paniculata,Lacy panicle,Half-open
Pink Lady,Hymenoptera,13,Hydrangea paniculata,Mop-like panicle,Dense
Pink Pincushion,Hymenoptera,2,Hydrangea arborescens,Lacy,Half-open
Pinky Winky,Hymenoptera,19.66666667,Hydrangea paniculata,Lacy panicle,Half-open
Polar Ball,Hymenoptera,4,Hydrangea paniculata,Mop-like panicle,Very dense
Puffer Fish,Hymenoptera,17,Hydrangea paniculata,Mop-like panicle,Half-open
Quick Fire,Hymenoptera,15.33333333,Hydrangea paniculata,Lacy panicle,Open
Quick Fire Fabulous,Hymenoptera,8,Hydrangea paniculata,Mop-like panicle,Dense
Riven Lace,Hymenoptera,0,Hydrangea arborescens,Lacy,Half-open
Ruby,Hymenoptera,23,Hydrangea paniculata,Mop-like panicle,Half-open
Ryan Gainey,Hymenoptera,1,Hydrangea arborescens,Mop,Dense
Seaside Serenade Bar Harbor,Hymenoptera,9,Hydrangea arborescens,Mop,Dense
Silver Dollar,Hymenoptera,7,Hydrangea paniculata,Mop-like panicle,Dense
Silver Leaf,Hymenoptera,18,Hydrangea arborescens,Lacy,Open
Strawberry Shake,Hymenoptera,6,Hydrangea paniculata,Mop-like panicle,Very dense
Strawberry Sundae,Hymenoptera,25,Hydrangea paniculata,Mop-like panicle,Open
Sweet Summer,Hymenoptera,18,Hydrangea paniculata,Mop-like panicle,Dense
Tickled Pink,Hymenoptera,17,Hydrangea paniculata,Lacy panicle,Half-open
Vanilla Strawberry,Hymenoptera,17,Hydrangea paniculata,Mop-like panicle,Dense
White Diamonds,Hymenoptera,34,Hydrangea paniculata,Mop-like panicle,Half-open
White Dome,Hymenoptera,48,Hydrangea arborescens,Lacy,Open
Zinfin Doll,Hymenoptera,3,Hydrangea paniculata,Mop-like panicle,Half-open
Annabelle,Butterfly,0,Hydrangea arborescens,Mop,Dense
Baby Lace,Butterfly,1,Hydrangea paniculata,Lacy panicle,Open
Bella Anna,Butterfly,0,Hydrangea arborescens,Mop,Half-open
Berry White,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Half-open
Big Ben,Butterfly,0,Hydrangea paniculata,Lacy panicle,Dense
Bobo,Butterfly,0.5,Hydrangea paniculata,Mop-like panicle,Half-open
Bounty,Butterfly,0,Hydrangea arborescens,Mop,Half-open
Brussels Lace,Butterfly,0,Hydrangea paniculata,Lacy panicle,Open
Candy Apple,Butterfly,0.333333333,Hydrangea paniculata,Mop-like panicle,Dense
Daimond Rogue,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Half-open
Dharuma,Butterfly,0.5,Hydrangea paniculata,Lacy panicle,Open
Dolly,Butterfly,0,Hydrangea paniculata,Lacy panicle,Dense
Early Evolution,Butterfly,0,Hydrangea paniculata,Lacy panicle,Dense
Fire & Ice,Butterfly,1,Hydrangea paniculata,Lacy panicle,Open
Fire Light,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Dense
Floribunda,Butterfly,0,Hydrangea paniculata,Lacy panicle,Open
Great Star,Butterfly,0,Hydrangea paniculata,Lacy panicle,Very dense
Green Spire,Butterfly,1,Hydrangea paniculata,Lacy panicle,Open
Haas Halo,Butterfly,0,Hydrangea arborescens,Lacy,Open
Hayes Starburst,Butterfly,0,Hydrangea arborescens,Mop,Very dense
Honey Comb,Butterfly,0,Hydrangea paniculata,Lacy panicle,Open
Incrediball,Butterfly,0,Hydrangea arborescens,Mop,Dense
Invincibelle Ruby,Butterfly,0,Hydrangea arborescens,Mop,Very dense
Invincibelle Mini Mauvette,Butterfly,0,Hydrangea arborescens,Mop,Dense
Invincibelle Spirit II,Butterfly,0,Hydrangea arborescens,Mop,Dense
Invincibelle Wee White,Butterfly,0,Hydrangea arborescens,Mop,Dense
Kyushu,Butterfly,0,Hydrangea paniculata,Lacy panicle,Open
Lime Rickey,Butterfly,0,Hydrangea arborescens,Mop,Half-open
Limelight,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Very dense
Limelight Prime,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Half-open
Little Lamb,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Very dense
Little Lime,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Very dense
Little Lime Punch,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Half-open
Little Quick Fire,Butterfly,0.5,Hydrangea paniculata,Lacy panicle,Open
Mega Pearl,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Dense
Phantom,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Half-open
Pillow Talk,Butterfly,1,Hydrangea paniculata,Mop-like panicle,Very dense
Pink Diamond,Butterfly,0,Hydrangea paniculata,Lacy panicle,Half-open
Pink Lady,Butterfly,0.5,Hydrangea paniculata,Mop-like panicle,Dense
Pink Pincushion,Butterfly,0,Hydrangea arborescens,Lacy,Half-open
Pinky Winky,Butterfly,0,Hydrangea paniculata,Lacy panicle,Half-open
Polar Ball,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Very dense
Puffer Fish,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Half-open
Quick Fire,Butterfly,0,Hydrangea paniculata,Lacy panicle,Open
Quick Fire Fabulous,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Dense
Riven Lace,Butterfly,0,Hydrangea arborescens,Lacy,Half-open
Ruby,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Half-open
Ryan Gainey,Butterfly,0,Hydrangea arborescens,Mop,Dense
Seaside Serenade Bar Harbor,Butterfly,0,Hydrangea arborescens,Mop,Dense
Silver Dollar,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Dense
Silver Leaf,Butterfly,0,Hydrangea arborescens,Lacy,Open
Strawberry Shake,Butterfly,0.5,Hydrangea paniculata,Mop-like panicle,Very dense
Strawberry Sundae,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Open
Sweet Summer,Butterfly,2,Hydrangea paniculata,Mop-like panicle,Dense
Tickled Pink,Butterfly,0,Hydrangea paniculata,Lacy panicle,Half-open
Vanilla Strawberry,Butterfly,1.5,Hydrangea paniculata,Mop-like panicle,Dense
White Diamonds,Butterfly,3,Hydrangea paniculata,Mop-like panicle,Half-open
White Dome,Butterfly,0,Hydrangea arborescens,Lacy,Open
Zinfin Doll,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Half-open
