"","X","original_image_file","Date","Tag","cropped_image_file","det_num","det_confidence","prob1","combination","species1","humanID","HumanAndComputerAgree","species2","prob2","species3","prob3","entropy","classification_precision"
"97",3423,"Braatz_images\2019_07_11_done\5A\P7110026.JPG","","","P7110026_1.jpg",1,0.8858,99.6,88.22568,"Coleoptera","Coleoptera","Yes","Wasp",0.4,"Sphecodes",0,0.0296,0.9916
"98",3424,"Braatz_images\2019_07_11_done\5A\P7110027.JPG","","","P7110027_1.jpg",1,0.4488,12.5,5.61,"Augochlora","Bee","Reduced","Meliponini",12,"Hylaeus",7.8,3.6295,0.9524
"99",3425,"Braatz_images\2019_07_11_done\5A\P7110029.JPG","","","P7110029_1.jpg",1,0.6479,69.9,45.28821,"Coleoptera","None","No","Wasp",23.2,"Augochlora",3.9,0.8825,0.9916
"100",3426,"Braatz_images\2019_07_11_done\5A\P7110034.JPG","","","P7110034_1.jpg",1,0.5874,99.9,58.68126,"Diptera","Diptera","Yes","Syrphidae",0.1,"Coleoptera",0,0.0104,0.9755
"101",3429,"Braatz_images\2019_07_11_done\5A\P7110037.JPG","","","P7110037_1.jpg",1,0.6066,78.9,47.86074,"Coleoptera","Formicidae","No","Wasp",15.5,"Syrphidae",1.8,0.739,0.9916
"102",3430,"Braatz_images\2019_07_11_done\5A\P7110038.JPG","","","P7110038_1.jpg",1,0.7085,55.4,39.2509,"Coleoptera","Formicidae","No","Wasp",27.6,"Hylaeus",9.7,1.2084,0.9916
"103",3431,"Braatz_images\2019_07_11_done\5A\P7110039.JPG","","","P7110039_1.jpg",1,0.327,17.1,5.5917,"Xylocopa_micans","None","No","Xylocopa",15.8,"Xylocopa_latipes",11.6,3.1087,0.904
"104",3432,"Braatz_images\2019_07_11_done\9A\P7110030.JPG","","","P7110030_1.jpg",1,0.4675,19.5,9.11625,"Xylocopa_latipes","None","No","Lepidoptera",17.1,"Coleoptera",7,3.1449,0.8312
"105",3434,"Braatz_images\2019_07_11_done\9A\P7110032.JPG","","","P7110032_1.jpg",1,0.215,70.6,15.179,"Lepidoptera","None","No","Xylocopa_micans",5.1,"Xylocopa_latipes",4,1.4868,0.9686
"106",3435,"Braatz_images\2019_07_11_done\9A\P7110033.JPG","","","P7110033_1.jpg",1,0.4892,68.9,33.70588,"Lepidoptera","Odonata","No","Diptera",20.5,"Syrphidae",9.9,0.8538,0.9686
"107",3436,"Braatz_images\2019_07_12_done\11A\P7120086.JPG","","","P7120086_1.jpg",1,0.705,79.8,56.259,"Apis_mellifera","Apis_mellifera","Yes","Apis_cerana",19.7,"Apis_florea",0.1,0.5362,0.9707
"108",3438,"Braatz_images\2019_07_12_done\11A\P7120087.JPG","","","P7120087_1.jpg",1,0.7235,83.1,60.12285,"Apis_mellifera","Apis_mellifera","Yes","Apis_cerana",15.4,"Apis_florea",1,0.5308,0.9707
"109",3440,"Braatz_images\2019_07_12_done\11A\P7120088.JPG","","","P7120088_1.jpg",1,0.546,99.7,54.4362,"Apis_mellifera","Apis_mellifera","Yes","Xylocopa_micans",0,"Anthophora_urbana",0,0.0262,0.9707
"110",3441,"Braatz_images\2019_07_12_done\11A\P7120089.JPG","","","P7120089_1.jpg",1,0.7257,100,72.57,"Apis_mellifera","Apis_mellifera","Yes","Syrphidae",0,"Apis_florea",0,0.0048,0.9707
"111",3442,"Braatz_images\2019_07_12_done\11A\P7120090.JPG","","","P7120090_1.jpg",1,0.8056,99.3,79.99608,"Apis_mellifera","Apis_mellifera","Yes","Apis_cerana",0.3,"Augochloropsis",0.1,0.0649,0.9707
"112",3443,"Braatz_images\2019_07_12_done\11A\P7120091.JPG","","","P7120091_1.jpg",1,0.7997,99.9,79.89003,"Apis_mellifera","Apis_mellifera","Yes","Apis_cerana",0,"Bombus_rufocinctus",0,0.0124,0.9707
"113",3444,"Braatz_images\2019_07_12_done\11A\P7120092.JPG","","","P7120092_1.jpg",1,0.2663,65.5,17.44265,"Halictus_tripartitus","Bee","Reduced","Apis_florea",17.6,"Lasioglossum",6.5,1.181,0.7959
"114",3445,"Braatz_images\2019_07_12_done\11A\P7120093.JPG","","","P7120093_1.jpg",1,0.7496,30.5,22.8628,"Chelostoma","Bee","Reduced","Halictus",27,"Halictus_rubicundus",16.6,1.7665,0.9093
"115",3447,"Braatz_images\2019_07_12_done\11A\P7120094.JPG","","","P7120094_1.jpg",1,0.7672,85.7,65.74904,"Halictus_rubicundus","Bee","Reduced","Halictus_ligatus",12.2,"Lasioglossum",1.4,0.4867,0.8679
"116",3448,"Braatz_images\2019_07_12_done\11A\P7120095.JPG","","","P7120095_1.jpg",1,0.7486,89,66.6254,"Panurginus","Bee","Reduced","Lasioglossum",10.1,"Andrena",0.4,0.3884,0.7857
"117",3449,"Braatz_images\2019_07_12_done\11A\P7120097.JPG","","","P7120097_1.jpg",1,0.7531,91.2,68.68272,"Coleoptera","None","No","Syrphidae",2.8,"Meliponini",2.4,0.4644,0.9916
"118",3450,"Braatz_images\2019_07_12_done\11A\P7120098.JPG","","","P7120098_1.jpg",1,0.7014,85.8,60.18012,"Coleoptera","None","No","Megachile",11,"Halictus",1.2,0.5533,0.9916
"119",3455,"Braatz_images\2019_07_12_done\11A\P7120101.JPG","","","P7120101_1.jpg",1,0.5099,39.2,19.98808,"Hylaeus_leptocephalus","Bee","Reduced","Meliponini",11.7,"Ceratina",11.7,1.8627,0.844
"120",3457,"Braatz_images\2019_07_12_done\11A\P7120102.JPG","","","P7120102_1.jpg",1,0.6478,35.4,22.93212,"Lasioglossum","Bee","Reduced","Andrena",34.8,"Colletes",7.4,1.668,0.9521
"121",3461,"Braatz_images\2019_07_12_done\11A\P7120103.JPG","","","P7120103_1.jpg",1,0.6406,90.7,58.10242,"Halictus_tripartitus","Bee","Reduced","Halictus_ligatus",6.1,"Apis_florea",1.1,0.4201,0.7959
"122",3465,"Braatz_images\2019_07_12_done\11A\P7120104.JPG","","","P7120104_1.jpg",1,0.7087,80.1,56.76687,"Halictus_tripartitus","Bee","Reduced","Lasioglossum",11.3,"Halictus_ligatus",5.5,0.7421,0.7959
"123",3467,"Braatz_images\2019_07_12_done\11A\P7120105.JPG","","","P7120105_1.jpg",1,0.7193,68.9,49.55977,"Halictus_tripartitus","Bee","Reduced","Lasioglossum",9.9,"Halictus_ligatus",9.5,1.1468,0.7959
"124",3469,"Braatz_images\2019_07_12_done\11A\P7120106.JPG","","","P7120106_1.jpg",1,0.2336,59.9,13.99264,"Meliponini","None","No","Hylaeus",19.4,"Wasp",9.8,1.2391,0.9634
"125",3471,"Braatz_images\2019_07_12_done\11A\P7120107.JPG","","","P7120107_1.jpg",1,0.6959,54.2,37.71778,"Syrphidae","Diptera","Reduced","Meliponini",22.6,"Wasp",9.2,1.4112,0.9836
"126",10806,"Braatz_images\7-15-21_done\A1\Q7154086.JPG","","","Q7154086_1.jpg",1,0.7375,89.1,65.71125,"Lasioglossum","Bee","Reduced","Halictus_tripartitus",7.1,"Halictus",3.5,0.429,0.9521
"127",10807,"Braatz_images\7-15-21_done\A1\Q7154087.JPG","","","Q7154087_1.jpg",1,0.7684,96.8,74.38112,"Lasioglossum","Bee","Reduced","Halictus_tripartitus",2.7,"Halictus",0.5,0.16,0.9521
"128",10809,"Braatz_images\7-15-21_done\A11\Q7154101.JPG","","","Q7154101_1.jpg",1,0.7131,51.7,36.86727,"Hylaeus_modestus","Formicidae","No","Hylaeus",35,"Hylaeus_leptocephalus",4,1.3054,0.8886
"129",10810,"Braatz_images\7-15-21_done\A11\Q7154102.JPG","","","Q7154102_1.jpg",1,0.6589,93.4,61.54126,"Wasp","Formicidae","No","Hylaeus",4.4,"Coleoptera",1,0.3161,0.9575
"130",10811,"Braatz_images\7-15-21_done\A11\Q7154103.JPG","","","Q7154103_1.jpg",1,0.8157,29.4,23.98158,"Halictus_tripartitus","Bee","Reduced","Halictus_rubicundus",19.9,"Lasioglossum",16.2,1.7658,0.7959
"131",10812,"Braatz_images\7-15-21_done\A11\Q7154104.JPG","","","Q7154104_1.jpg",1,0.6962,99.2,69.06304,"Halictus_rubicundus","Bee","Reduced","Halictus",0.4,"Lasioglossum",0.3,0.0561,0.8679
"132",10813,"Braatz_images\7-15-21_done\A11\Q7154105.JPG","","","Q7154105_1.jpg",1,0.8292,99.7,82.67124,"Diptera","Diptera","Yes","Syrphidae",0.3,"Coleoptera",0,0.0194,0.9755
"133",10814,"Braatz_images\7-15-21_done\A11\Q7154106.JPG","","","Q7154106_1.jpg",1,0.7284,93.7,68.25108,"Diptera","Diptera","Yes","Syrphidae",2.5,"Coelioxys",1.5,0.3241,0.9755
"134",10816,"Braatz_images\7-15-21_done\A11\Q7154107.JPG","","","Q7154107_1.jpg",1,0.7597,74.2,56.36974,"Hylaeus","Bee","Reduced","Hylaeus_leptocephalus",13.1,"Hylaeus_modestus",6,0.9249,0.9337
"135",10818,"Braatz_images\7-15-21_done\A11\Q7154108.JPG","","","Q7154108_1.jpg",1,0.8346,75,62.595,"Lasioglossum","Bee","Reduced","Hylaeus",11.4,"Halictus",6.3,0.9296,0.9521
"136",10821,"Braatz_images\7-15-21_done\A11\Q7154109.JPG","","","Q7154109_1.jpg",1,0.661,95.6,63.1916,"Wasp","Formicidae","No","Hylaeus",2.5,"Coleoptera",1.5,0.2264,0.9575
"137",10822,"Braatz_images\7-15-21_done\A11\Q7154110.JPG","","","Q7154110_1.jpg",1,0.7524,98.3,73.96092,"Wasp","Formicidae","No","Hylaeus",0.8,"Coleoptera",0.4,0.1141,0.9575
"138",10823,"Braatz_images\7-15-21_done\A11\Q7154111.JPG","","","Q7154111_1.jpg",1,0.745,94.4,70.328,"Wasp","Wasp","Yes","Coleoptera",5.4,"Diptera",0.1,0.2253,0.9575
"139",10825,"Braatz_images\7-15-21_done\A11\Q7154112.JPG","","","Q7154112_1.jpg",1,0.7313,40.9,29.91017,"Lasioglossum","Bee","Reduced","Hylaeus_modestus",9.6,"Ceylalictus",7.2,2.3111,0.9521
"140",10827,"Braatz_images\7-15-21_done\A11\Q7154113.JPG","","","Q7154113_1.jpg",1,0.7089,47.3,33.53097,"Chelostoma","Bee","Reduced","Lasioglossum",19.3,"Andrena",9.2,1.8589,0.9093
"141",10830,"Braatz_images\7-15-21_done\A11\Q7154114.JPG","","","Q7154114_1.jpg",1,0.4685,68.6,32.1391,"Wasp","Formicidae","No","Hylaeus",13,"Chelostoma",10.1,1.0266,0.9575
"142",10833,"Braatz_images\7-15-21_done\A5\Q7154089.JPG","","","Q7154089_1.jpg",1,0.8434,99.1,83.58094,"Apis_mellifera","Apis_mellifera","Yes","Syrphidae",0.4,"Apis_cerana",0.2,0.0688,0.9707
"143",10834,"Braatz_images\7-15-21_done\A5\Q7154090.JPG","","","Q7154090_1.jpg",1,0.8661,99.9,86.52339,"Apis_mellifera","Apis_mellifera","Yes","Meliponini",0,"Colletes_hederae",0,0.0074,0.9707
"144",10835,"Braatz_images\7-15-21_done\A5\Q7154091.JPG","","","Q7154091_1.jpg",1,0.8073,99.9,80.64927,"Syrphidae","Diptera","Reduced","Lasioglossum",0,"Apis_mellifera",0,0.0089,0.9836
"145",10836,"Braatz_images\7-15-21_done\A5\Q7154092.JPG","","","Q7154092_1.jpg",1,0.8329,100,83.29,"Coleoptera","Coleoptera","Yes","Agapostemon_splendens",0,"Syrphidae",0,5e-04,0.9916
"146",10838,"Braatz_images\7-15-21_done\A5\Q7154093.JPG","","","Q7154093_1.jpg",1,0.7154,99.6,71.25384,"Coleoptera","Coleoptera","Yes","Lepidoptera",0.3,"Diptera",0,0.0249,0.9916
"147",10839,"Braatz_images\7-15-21_done\A5\Q7154094.JPG","","","Q7154094_1.jpg",1,0.8518,100,85.18,"Coleoptera","Coleoptera","Yes","Agapostemon_splendens",0,"Lepidoptera",0,2e-04,0.9916
"148",10840,"Braatz_images\7-15-21_done\A5\Q7154095.JPG","","","Q7154095_1.jpg",1,0.8229,100,82.29,"Diptera","Diptera","Yes","Syrphidae",0,"Xylocopa",0,0.0032,0.9755
"149",10841,"Braatz_images\7-15-21_done\A5\Q7154096.JPG","","","Q7154096_1.jpg",1,0.7477,100,74.77,"Diptera","Diptera","Yes","Syrphidae",0,"Exomalopsis",0,0.0044,0.9755
"150",10843,"Braatz_images\7-15-21_done\A9\Q7154098.JPG","","","Q7154098_1.jpg",1,0.7602,100,76.02,"Diptera","Diptera","Yes","Syrphidae",0,"Xylocopa",0,0.0021,0.9755
"151",10845,"Braatz_images\7-15-21_done\A9\Q7154099.JPG","","","Q7154099_1.jpg",1,0.7041,99.9,70.33959,"Diptera","Diptera","Yes","Syrphidae",0.1,"Coleoptera",0,0.0052,0.9755
"152",10847,"Braatz_images\7-15-21_done\B5\Q7154029.JPG","","","Q7154029_1.jpg",1,0.5213,100,52.13,"Lepidoptera","Limenitis.archippus","Increased","Wasp",0,"Andrena_fulva",0,4e-04,0.9686
"153",10849,"Braatz_images\7-15-21_done\B5\Q7154030.JPG","","","Q7154030_1.jpg",1,0.8033,100,80.33,"Wasp","Wasp","Yes","Syrphidae",0,"Hylaeus",0,0.0049,0.9575
"154",10851,"Braatz_images\7-15-21_done\B5\Q7154031.JPG","","","Q7154031_1.jpg",1,0.8802,100,88.02,"Wasp","Wasp","Yes","Hylaeus",0,"Coleoptera",0,0.0023,0.9575
"155",10852,"Braatz_images\7-15-21_done\B5\Q7154032.JPG","","","Q7154032_1.jpg",1,0.8345,99.8,83.2831,"Wasp","Wasp","Yes","Syrphidae",0.2,"Hyleoides",0,0.019,0.9575
"156",10853,"Braatz_images\7-15-21_done\B5\Q7154033.JPG","","","Q7154033_1.jpg",1,0.8126,98.4,79.95984,"Wasp","Wasp","Yes","Hyleoides",1.5,"Hylaeus",0.1,0.0843,0.9575
"157",10854,"Braatz_images\7-15-21_done\B5\Q7154034.JPG","","","Q7154034_1.jpg",1,0.8393,98.9,83.00677,"Wasp","Wasp","Yes","Hylaeus",0.6,"Syrphidae",0.5,0.0691,0.9575
"158",10855,"Braatz_images\7-15-21_done\B5\Q7154035.JPG","","","Q7154035_1.jpg",1,0.7514,38.1,28.62834,"Hylaeus","Formicidae","No","Coleoptera",19.2,"Perdita",12.2,1.9367,0.9337
"159",10856,"Braatz_images\7-15-21_done\B5\Q7154036.JPG","","","Q7154036_1.jpg",1,0.8156,59.8,48.77288,"Wasp","Wasp","Yes","Syrphidae",37.8,"Diptera",1.3,0.7926,0.9575
"160",10857,"Braatz_images\7-15-21_done\B5\Q7154037.JPG","","","Q7154037_1.jpg",1,0.8034,82.8,66.52152,"Syrphidae","Wasp","No","Wasp",16.7,"Coleoptera",0.2,0.4848,0.9836
"161",10858,"Braatz_images\7-15-21_done\B5\Q7154038.JPG","","","Q7154038_1.jpg",1,0.7411,87.8,65.06858,"Syrphidae","Wasp","No","Wasp",11.4,"Coleoptera",0.5,0.4096,0.9836
"162",10860,"Braatz_images\7-15-21_done\B5\Q7154039.JPG","","","Q7154039_1.jpg",1,0.6278,54.8,34.40344,"Chelostoma","Unknown","No","Ceylalictus",27.2,"Hylaeus",7,1.359,0.9093
"163",10863,"Braatz_images\7-15-21_done\B5\Q7154040.JPG","","","Q7154040_1.jpg",1,0.8086,94.2,76.17012,"Wasp","Wasp","Yes","Syrphidae",1,"Triepeolus",0.7,0.3669,0.9575
"164",10865,"Braatz_images\7-15-21_done\B5\Q7154041.JPG","","","Q7154041_1.jpg",1,0.7374,85,62.679,"Megachile_sculpturalis","Bee","Reduced","Megachile",8.2,"Apis_mellifera",2.2,0.6728,0.9709
"165",10866,"Braatz_images\7-15-21_done\B5\Q7154042.JPG","","","Q7154042_1.jpg",1,0.8525,56.2,47.9105,"Wasp","Wasp","Yes","Trachusa",17.1,"Triepeolus",8.3,1.4909,0.9575
"166",10867,"Braatz_images\7-15-21_done\B5\Q7154043.JPG","","","Q7154043_1.jpg",1,0.8296,100,82.96,"Wasp","Wasp","Yes","Nomada",0,"Syrphidae",0,4e-04,0.9575
"167",10868,"Braatz_images\7-15-21_done\B5\Q7154044.JPG","","","Q7154044_1.jpg",1,0.7577,85.1,64.48027,"Ceratina","Bee","No","Euglossa",11.6,"Augochloropsis",1.9,0.5292,0.9505
"168",10870,"Braatz_images\7-15-21_done\B5\Q7154045.JPG","","","Q7154045_1.jpg",1,0.7533,46.6,35.10378,"Wasp","Formicidae","No","Coleoptera",43.4,"Augochlora",3.6,1.1178,0.9575
"169",10872,"Braatz_images\7-15-21_done\B5\Q7154046.JPG","","","Q7154046_1.jpg",1,0.7748,64.6,50.05208,"Syrphidae","Diptera","No","Diptera",34.2,"Meliponini",1.1,0.7029,0.9836
"170",10873,"Braatz_images\7-15-21_done\B5\Q7154047.JPG","","","Q7154047_1.jpg",1,0.7627,98.8,75.35476,"Syrphidae","Diptera","No","Diptera",0.6,"Meliponini",0.6,0.0765,0.9836
"171",10876,"Braatz_images\7-15-21_done\B5\Q7154049.JPG","","","Q7154049_1.jpg",1,0.787,96,75.552,"Ceratina","Bee","Reduced","Augochloropsis",3.3,"Augochlora",0.5,0.1895,0.9505
"172",10877,"Braatz_images\7-15-21_done\B5\Q7154050.JPG","","","Q7154050_1.jpg",1,0.2313,77.2,17.85636,"Wasp","Diptera","No","Augochlora",9.5,"Lepidoptera",4.4,0.9615,0.9575
"173",10878,"Braatz_images\7-15-21_done\B5\Q7154051.JPG","","","Q7154051_1.jpg",1,0.7442,99.7,74.19674,"Halictus_tripartitus","Bee","Reduced","Halictus",0.3,"Lasioglossum",0,0.0199,0.7959
"174",10880,"Braatz_images\7-15-21_done\B5\Q7154052.JPG","","","Q7154052_1.jpg",1,0.7729,84.4,65.23276,"Halictus_tripartitus","Bee","Reduced","Halictus",15.5,"Halictus_ligatus",0.1,0.4396,0.7959
"175",10883,"Braatz_images\7-15-21_done\B5\Q7154053.JPG","","","Q7154053_1.jpg",1,0.7081,99.7,70.59757,"Wasp","Wasp","Yes","Syrphidae",0.2,"Halictus_scabiosae",0.1,0.0224,0.9575
"176",10884,"Braatz_images\7-15-21_done\B5\Q7154054.JPG","","","Q7154054_1.jpg",1,0.7603,22.9,17.41087,"Augochlora","Bee","Reduced","Coleoptera",18.8,"Syrphidae",17.4,2.4338,0.9524
"177",10888,"Braatz_images\7-15-21_done\B5\Q7154066.JPG","","","Q7154066_1.jpg",1,0.2037,60.5,12.32385,"Meliponini","Hairstreak","No","Lipotriches",10.6,"Apis_cerana",6.1,1.8106,0.9634
"178",10889,"Braatz_images\7-15-21_done\B5\Q7154067.JPG","","","Q7154067_1.jpg",1,0.2373,99.9,23.70627,"Lepidoptera","Satyrium.calanus","Increased","Meliponini",0,"Amegilla",0,0.0076,0.9686
"179",10890,"Braatz_images\7-15-21_done\B5\Q7154068.JPG","","","Q7154068_1.jpg",1,0.8426,64.5,54.3477,"Syrphidae","Wasp","No","Wasp",35.3,"Diptera",0.1,0.6596,0.9836
"180",10891,"Braatz_images\7-15-21_done\B5\Q7154069.JPG","","","Q7154069_1.jpg",1,0.8738,76.5,66.8457,"Wasp","Wasp","Yes","Syrphidae",23.2,"Diptera",0.2,0.561,0.9575
"181",10893,"Braatz_images\7-15-21_done\B5\Q7154070.JPG","","","Q7154070_1.jpg",1,0.8974,65.7,58.95918,"Syrphidae","Wasp","No","Wasp",32.7,"Diptera",1.6,0.7096,0.9836
"182",10894,"Braatz_images\7-15-21_done\B5\Q7154071.JPG","","","Q7154071_1.jpg",1,0.6314,57.4,36.24236,"Hylaeus_leptocephalus","Formicidae","No","Coleoptera",26.1,"Perdita",10.5,1.1668,0.844
"183",10895,"Braatz_images\7-15-21_done\B5\Q7154072.JPG","","","Q7154072_1.jpg",1,0.7517,99.2,74.56864,"Ceylalictus","None","No","Lasioglossum",0.7,"Braunsapis",0,0.0495,0.9444
"184",10896,"Braatz_images\7-15-21_done\B5\Q7154073.JPG","","","Q7154073_1.jpg",1,0.7473,97.8,73.08594,"Diptera","Diptera","Yes","Syrphidae",1.5,"Palaeorhiza",0.5,0.1269,0.9755
"185",10897,"Braatz_images\7-15-21_done\B5\Q7154074.JPG","","","Q7154074_1.jpg",1,0.8566,99.4,85.14604,"Syrphidae","Diptera","No","Xylocopa_virginica",0.2,"Diptera",0.2,0.0497,0.9836
"186",10898,"Braatz_images\7-15-21_done\B5\Q7154075.JPG","","","Q7154075_1.jpg",1,0.844,98.9,83.4716,"Syrphidae","Diptera","No","Diptera",0.9,"Xylocopa_virginica",0.2,0.0691,0.9836
"187",10899,"Braatz_images\7-15-21_done\B5\Q7154076.JPG","","","Q7154076_1.jpg",1,0.8809,99.7,87.82573,"Syrphidae","Diptera","No","Diptera",0.2,"Xylocopa_virginica",0.1,0.0224,0.9836
"188",10900,"Braatz_images\7-15-21_done\B5\Q7154077.JPG","","","Q7154077_1.jpg",1,0.8762,100,87.62,"Diptera","Diptera","Yes","Syrphidae",0,"Coleoptera",0,0.0039,0.9755
"189",10901,"Braatz_images\7-15-21_done\B5\Q7154078.JPG","","","Q7154078_1.jpg",1,0.8763,100,87.63,"Diptera","Diptera","Yes","Coleoptera",0,"Syrphidae",0,7e-04,0.9755
"190",10902,"Braatz_images\7-15-21_done\B5\Q7154079.JPG","","","Q7154079_1.jpg",1,0.85,100,85,"Diptera","Diptera","Yes","Coleoptera",0,"Syrphidae",0,6e-04,0.9755
"191",10903,"Braatz_images\7-15-21_done\B5\Q7154080.JPG","","","Q7154080_1.jpg",1,0.5519,99.4,54.85886,"Lepidoptera","Satyrium.calanus","Increased","Coleoptera",0.6,"Apis_mellifera",0,0.0378,0.9686
"192",10905,"Braatz_images\7-15-21_done\B5\Q7154081.JPG","","","Q7154081_1.jpg",1,0.8584,99.9,85.75416,"Coleoptera","Coleoptera","Yes","Wasp",0,"Lepidoptera",0,0.0055,0.9916
"193",10907,"Braatz_images\7-15-21_done\B5\Q7154082.JPG","","","Q7154082_1.jpg",1,0.7905,81.9,64.74195,"Coleoptera","Coleoptera","Yes","Wasp",15.6,"Syrphidae",2.3,0.5523,0.9916
"194",10908,"Braatz_images\7-15-21_done\B5\Q7154083.JPG","","","Q7154083_1.jpg",1,0.8631,100,86.31,"Coleoptera","Coleoptera","Yes","Wasp",0,"Syrphidae",0,0.0044,0.9916
