Cultivar,average_abundance2,Inflorescence.Type,Flower.Type,False.Sepals,Species,# blooming flowers,Timing? ,ANOVA,"check literature to see categories that people use for these things, top 10% / 20% vs bottom 10/20% maybe ",maybe focus on ends ,"rarefaction curves -- must go to same level. So one graph has only famiiles, one graph has only genera  "
Ruby,23,Dense,Mop-like panicle,4,Hydrangea paniculata,,s,,,,
Pink Diamond,20.66666667,Open,Lacy panicle,4,Hydrangea paniculata,,,section 1: insect description,,,
Green Spire,16.5,Open,Lacy panicle,4,Hydrangea paniculata,,,section 2: plant description of characteristics,,,
Silver Leaf,15,Open,Lacy,4,Hydrangea arborescens,,,section 3: interactions between them ,,,
Dolly,14.5,Dense,Lacy panicle,4,Hydrangea paniculata,,,,,,
Kyushu,14.25,0,0,0,Hydrangea paniculata,,,,,,
Honey Comb,14,Open,Lacy panicle,4,Hydrangea paniculata,,,,,,
Fire & Ice,13.66666667,Open,Lacy panicle,4,Hydrangea paniculata,,,,,,
Phantom,10.75,Half-open,Mop-like panicle,4,Hydrangea paniculata,,,,,,
Brussels Lace,10.33333333,Open,Lacy panicle,4,Hydrangea paniculata,,,,,,
Great Star,10.2,Very dense,Lacy panicle,4,Hydrangea paniculata,,,,,,
Dharuma,10,Open,Lacy panicle,4,Hydrangea paniculata,,,,,,
Tickled Pink,10,Half-open,Mop-like panicle,4,Hydrangea paniculata,,,,,,
Mega Pearl,9.875,Dense,Mop-like panicle,4,Hydrangea paniculata,,,,,,
Pinky Winky,9.75,Half-open,Mop-like panicle,4,Hydrangea paniculata,,,,,,
Vanilla Strawberry,9.6,Half-open,Mop-like panicle,5,Hydrangea paniculata,,,,,,
Lime Light,9.4,Very dense,Mop-like panicle,4,Hydrangea paniculata,,,,,,
Sweet Summer,8.75,Dense,Mop-like panicle,4,Hydrangea paniculata,,,,,,
Quick Fire,8.727272727,Open,Lacy panicle,4,Hydrangea paniculata,,,,,,
Puffer Fish,8.5,Half-open,Mop-like panicle,4,Hydrangea paniculata,,,,,,
Candy Apple,8.25,Dense,Mop-like panicle,4,Hydrangea paniculata,,,,,,
Pink Lady,8.2,Dense,Mop-like panicle,4,Hydrangea paniculata,,,,,,
Strawberry Shake,7.363636364,Very dense,Mop-like panicle,4,Hydrangea paniculata,,,,,,
Haas Halo,7.333333333,Open,Lacy,3,Hydrangea arborescens,,,,,,
Little Quick Fire,7.333333333,Open,Lacy panicle,4,Hydrangea paniculata,,,,,,
Bobo,7.25,Half-open,Mop-like panicle,4,Hydrangea paniculata,,,,,,
WHITE DOMEô,7,Open,Lacy,4,Hydrangea arborescens,,,,,,
Fire Light,6.384615385,Dense,Mop-like panicle,4,Hydrangea paniculata,,,,,,
INCREDIBALLô,6.333333333,Dense,Mop,3,Hydrangea arborescens,,,,,,
Floribunda,6,Open,Lacy panicle,4,Hydrangea paniculata,,,,,,
Little Lamb,6,Very dense,Mop-like panicle,4,Hydrangea paniculata,,,,,,
Seaside SerenadeÆ Bar Harbor,6,Dense,Mop,4,Hydrangea arborescens,,,,,,
Zinfin Doll,6,Half-open,Mop-like panicle,4,Hydrangea paniculata,,,,,,
Silver Dollar,4.666666667,Dense,Mop-like panicle,4,Hydrangea paniculata,,,,,,
Limelight Prime,4.5,Half-open,Mop-like panicle,4,Hydrangea paniculata,,,,,,
Daimond Rogue,4.333333333,Half-open,Mop-like panicle,4,Hydrangea paniculata,,,,,,
Bounty,4,Half-open,Mop,4,Hydrangea arborescens,,,,,,
Invincibelle Mini Mauvetteô,3.75,Dense,Mop,3,Hydrangea arborescens,,,,,,
Riven Lace,3.5,Half-open,Lacy,4,Hydrangea arborescens,,,,,,
Angel's Blush,3,0,0,0,Hydrangea paniculata,,,,,,
Berry White,3,Half-open,Mop-like panicle,4,Hydrangea paniculata,,,,,,
Little Lime,3,Very dense,Mop-like panicle,4,Hydrangea paniculata,,,,,,
Polar Ball,3,Very dense,Mop-like panicle,4,Hydrangea paniculata,,,,,,
White Diamonds,3,Half-open,Mop-like panicle,4,Hydrangea paniculata,,,,,,
Annabelle,2,Dense,Mop,4,Hydrangea arborescens,,,,,,
Baby Lace,2,Open,Lacy panicle,4,Hydrangea paniculata,,,,,,
Early Evolution,2,Open,Lacy panicle,4,Hydrangea paniculata,,,,,,
Hayes Starburst,2,Very dense,Mop,8,Hydrangea arborescens,,,,,,
BELLA ANNAô,1.5,Half-open,Mop,4,Hydrangea arborescens,,,,,,
