Trademark.Cultivar,shannon_index (larger is better),Avg Insect Spp Abundance / plant / season ,Total Spp. Insect richness / season,2019_TotalDays_w_Insects,Flower type,Color,BloomStart,BloomEnd,BloomTime,Height (ft),Spread (ft),Sun ,Water,Maintenance,Species,Note,Source
Annabelle,0.6931472,4,2,3,Mop,White,2020-06-01,2020-09-01,June - Sept,3 to 5,4 to 6,Part shade,,Low,Hydrangea arborescens,Days blooming 2019 data not available; used median,https://www.missouribotanicalgarden.org
Baby Lace,0.3330448,14,4,2,Lacy panicle,White,2020-07-01,2020-09-01,July - Sept,3 to 4,3 to 4,Full sun to part shade ,Medium,Medium ,Hydrangea paniculata,,https://www.missouribotanicalgarden.org
Bella Anna,0,2,3,3,Mop,Pink,,,July - Sept,2 to 3,2 to 3,Part sun,Medium,,Hydrangea arborescens,Days blooming 2019 data not available; used median,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=274487&isprofile=0&gen=Hydrangea%25&z=6
Berry White,0.8958797,5,2,3,Mop,Pink,,,July - Sept,4 to 5,4 to 5,Sun to part shade,,,Hydrangea paniculata,Days blooming 2019 data not available; used median,
Big Ben,0.9276173,15,1,7,Lacy panicle,White,2020-08-01,2020-11-01,Aug - Oct,19,10,Full sun to full shade,Medium,Medium ,Hydrangea paniculata,,http://plants.beechwood-gardens.com/12130013/Plant/11837/Big_Ben_Hydrangea/
Bobo,1.0126113,14,5,3,Mop-like panicle,White,,,Aug - Oct,2.5 - 3,3 to 4,Sun to part sun,,Easy,Hydrangea paniculata,Bloom time a guess; they just said midsummer to fall/ Days blooming 2019 data not available; used median,https://www.provenwinners.com/plants/hydrangea/bobo-panicle-hydrangea-hydrangea-paniculata
Bounty,0.6931472,8,3,3,Mop,Green-white,,,June -  July ,5,8,Sun to shade ,,N/A,Hydrangea arborescens,Days blooming 2019 data not available; used median,https://mtcubacenter.org/trials/wild-hydrangea-for-the-mid-atlantic-region/hydrangea-arborescens-bounty/
Brussels Lace,1.579459,43,5,4,Lacy panicle,White,2020-07-01,2020-10-01,July - Oct,5,6,Full sun to part shade,Medium high,N/A,Hydrangea paniculata,,https://www.chicagobotanic.org/plantcollections/plantfinder/hydrangea_paniculata_brussels_lace--brussels_lace_panicle_hydrangea
Candy Apple,0.9802899,16,8,3,Mop-like panicle,White,2020-06-01,2020-11-01,June - Oct,5,5,Full sun to full shade,,N/A,Hydrangea paniculata,Days blooming 2019 data not available; used median,https://www.gertens.com/candy-apple-hydrangea
Daimond Rogue,0.6516739,13,4,3,Mop-like panicle,Pink-white,,,Aug - Oct,4 to 5,3 to 4,Full sun to part shade,,Easy,Hydrangea paniculata,,https://firsteditionsplants.com/product/diamond-rouge-panicle-hydrangea/; https://www.gardenia.net/plant/hydrangea-paniculata-diamond-rouge
Dharuma,0.8397249,43,8,3,Lacy panicle,White,2020-07-01,2020-09-01,July - Sept,3 to 4,3 to 4,Full sun to part shade,Medium,N/A,Hydrangea paniculata,,https://www.northshoreplantclub.com/plant?id=7267
Dolly,1.2569249,25,3,1,Lacy panicle,White,,,Aug - Oct,5 to 8 ,5 to 8 ,Full sun to partial shade,,,Hydrangea paniculata,,https://www.rhs.org.uk/plants/177811/hydrangea-paniculata-dolly/details
Early Evolution ,0.1732868,1.5,4,3,Lacy panicle,Pink-white,,,June - Nov,2,2,Full sun to partial sun,Moist but well-drained,Easy,Hydrangea paniculata,Days blooming 2019 data not available; used median,https://www.waysidegardens.com/hydrangea-early-evolution-panicle-hydrangea-29895.html?srsltid=AfmBOoplMCVMM8O1mXoJVVWgNctuiqsXnHFi1Uw9h6XKAItY9-yi0uix
Fire & Ice,1.8356357,36,3,1,Lacy panicle,Pink-white,,,June - July,3 to 5,3 to 4 ,Partial sun ,,Easy,Hydrangea paniculata,,https://www.ballseed.com/PlantInfo/?phid=034001085020985
Fire Light,1.1404776,25,15,1,Mop-like panicle,Pink,2020-07-02,2020-09-01,July - Sept,6 to 8 ,6 to 8,Sun to part shade,N/A,N/A,Hydrangea paniculata,,https://www.whiteflowerfarm.com/63163-product.html
Floribunda,1.1065032,19,4,5,Lacy panicle,White,2020-08-01,2020-10-01,Aug - Oct,8 to 13,5 to 8,Full sun to part shade,Moist but well-drained,N/A,Hydrangea paniculata,,https://www.rhs.org.uk/plants/98580/hydrangea-paniculata-floribunda/details
Great Star,1.1731406,25.5,7,7,Lacy panicle,White,2020-07-01,2020-09-01,July - Sept,6 to 7,7 to 8 ,Full sun to part shade,Medium,Medium ,Hydrangea paniculata,,https://www.missouribotanicalgarden.org
Green Spire,1.2637924,80,4,3,Lacy panicle,Green-white,2020-08-01,2020-10-01,Aug - Oct,6 to 10 ,6 to 10 ,Full sun to part sun ,Medium ,Low ,Hydrangea paniculata,Could not find a bloom time so used our own data for it ,https://www.gardenia.net/plant/hydrangea-paniculata-greenspire
Haas Halo,0.5959298,36,7,3,Lacy,White,2020-06-01,2020-07-01,June - July,7,7,Full sun to full shade ,N/A,N/A,Hydrangea arborescens,Days blooming 2019 data not available; used median,https://mtcubacenter.org/trials/wild-hydrangea-for-the-mid-atlantic-region/hydrangea-arborescens-haas-halo/
Hayes Starburst,0,2,1,3,Mop,White,,,June - Sept ,2 to 4 ,2 to 4,Part shade,Medium,Low,Hydrangea arborescens,Days blooming 2019 data not available; used median,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=299175&isprofile=0&
Honey Comb,0.9788602,50,4,4,Lacy panicle,White,2020-07-01,2020-10-01,July - Oct,15,7,Full sun to full shade,N/A,Medium ,Hydrangea paniculata,"Could not find exact bloom time, used our data ",http://plants.beechwood-gardens.com/12130013/Plant/16553/Honeycomb_Hydrangea/
Incrediball,0.4193734,4,8,3,Mop,White,2020-07-01,2020-08-01,July - Aug,4 to 5,4 to 5,Full sun to part sun ,N/A,N/A,Hydrangea arborescens,"Could not find exact bloom time, used our data/ Days blooming 2019 data not available; used median",https://www.thespruce.com/description-of-incrediball-hydrangeas-2132707
Incredibelle Ruby,0.6648307,6,2,3,Mop,White,,,June - Aug,4 to 5,4 to 5,Full sun to part sun ,Medium,Easy,Hydrangea arborescens,Days blooming 2019 data not available; used median,https://www.provenwinners.com/plants/hydrangea/incrediball-smooth-hydrangea-hydrangea-arborescens
Invincibelle Mini Mauvet,0,0,1,3,Mop,Pink,,,July - Sept,2.5 - 3,2.5 - 3,Part sun to sun,Medium,Easy,Hydrangea arborescens,Estimated days blooming based on 'summer to fall' ,https://www.provenwinners.com/plants/hydrangea/invincibelle-mini-mauvette-smooth-hydrangea-hydrangea-arborescens
Invincibelle Spirit,0.2772589,2.5,5,3,Mop,Pink,,,July - Sept,3.5 - 4,3.5 - 4,Part sun to sun,Medium,Easy,Hydrangea arborescens,Days blooming 2019 data not available; used median,https://www.provenwinners.com/plants/hydrangea/invincibelle-spirit-ii-smooth-hydrangea-hydrangea-arborescens
Invincibelle Wee Whi,0,0,1,3,Mop,White,,,July - Sept,1 - 2.5,1-2.5,Part sun to sun,Average,Easy,Hydrangea arborescens,Estimated days blooming based on 'summer to fall' ,https://www.provenwinners.com/plants/hydrangea/invincibelle-wee-white-smooth-hydrangea-hydrangea-arborescens
Kyushu,1.4416311,54,5,5,Lacy panicle,White,2020-05-01,2020-10-01,May - Oct,6 to 8 ,6 to 8 ,Full sun to part shade,Medium,N/A,Hydrangea paniculata,,https://www.chicagobotanic.org/plantcollections/plantfinder/hydrangea_paniculata_kyushu--kyushu_panicle_hydrangea and https://hydrangeasplus.com/products/hydrangea-paniculata-kyushu?srsltid=AfmBOoppDF-Qk1uw-TcabnNQSop8sVqaT7Z2uEnE51IyVpV1DF6uhEKi
Lime Rickey,0,0,3,3,Mop,Green,,,July - Oct,4 to 5,4 to 5,Full sun to part sun ,Medium,Easy,Hydrangea arborescens,,https://www.provenwinners.com/plants/hydrangea/lime-rickey-smooth-hydrangea-hydrangea-arborescens
Limelight,1.0741606,22.5,6,1,Mop-like panicle,Green-white,,,Aug - Oct,6 to 8 ,6 to 8 ,Full sun to part sun ,Medium,Easy,Hydrangea paniculata,Days estimated by season ,https://www.provenwinners.com/plants/hydrangea/limelight-panicle-hydrangea-hydrangea-paniculata
Limelight Prime,0.4925454,11,4,3,Mop-like panicle,Green ,,,June - Aug,4 to 6 ,4 to 5 ,Full sun to part sun ,Medium,Easy,Hydrangea paniculata,Days blooming 2019 data not available; used median,https://www.provenwinners.com/plants/hydrangea/limelight-prime-panicle-hydrangea-hydrangea-paniculata
Little Lamb,1.4686503,23,4,2,Mop-like panicle,White,,,July - Sept,4 to 6 ,4 to 6 ,Full sun to part sun ,Medium,Easy,Hydrangea paniculata,Days estimated by season ,https://www.provenwinners.com/plants/hydrangea/little-lamb-panicle-hydrangea-hydrangea-paniculata
Little Lime,0.8440066,6,5,3,Mop-like panicle,Green-white,,,June - Aug,3 to 5,3 to 5,Full sun to part sun ,Medium,Easy,Hydrangea paniculata,Days blooming 2019 data not available; used median,
Little Lime Punch,0.2502012,6,2,3,Mop-like panicle,Pink-white,,,June - Aug,3 to 5 ,3 to 5,Full sun to part sun ,Medium,Moderate,Hydrangea paniculata,Days blooming 2019 data not available; used median,
Little Quick Fire,1.2018749,20.5,6,3,Lacy panicle,Pink,2020-07-01,2020-10-01,July - Oct,3 to 5,3 to 5,Full sun to part sun ,Medium,N/A,Hydrangea paniculata,Based on actual days blooming data ,https://hydrangea.com/products/little-quick-fire-panicle-hydrangea?srsltid=AfmBOooNVO-RW1s19arvwHK3wJkCyUnjN03YejaKTVPZG5GIOhFAuDJd
Mega Pearl,1.1663076,35,8,4,Mop-like panicle,Pink-white,2020-07-01,2020-10-01,July - Oct,6 to 8 ,6 to 8 ,Full sun ,Medium,N/A,Hydrangea paniculata,Could not find exact date so used our data ,https://naturehills.com/products/hydrangea-mega-pearl?srsltid=AfmBOoqtkNbCaP9iB6-2A1Kswx4540onK_3L41O7YiUTRkcuVu7YItxr
Phantom,0.8995531,26.5,8,2,Mop-like panicle,White,2020-07-01,2020-10-01,July - Sept,6,6,Full sun to part shade,Medium,N/A,Hydrangea paniculata,,https://www.chicagobotanic.org/plantcollections/plantfinder/hydrangea_paniculata_phantom--phantom_panicle_hydrangea; https://www.whiteflowerfarm.com/hydrangea-paniculata-phantom?srsltid=AfmBOoqN-6A_rH-qscaxYDmDo3F1gWv86VJUmwzuu6xPmHCuVASD09b9
Pillow Talk,0.5493061,4,2,3,Mop-like panicle,Pink-white,,,July - Sept,6 to 8 ,6 to 8,Full sun to part sun ,Medium,N/A,Hydrangea paniculata,Days blooming 2019 data not available; used median,https://www.bluestoneperennials.com/HYPT.html?srsltid=AfmBOopYXn8coQlzKXiXbK0TBf2_gvYPUJKAD4PVaOm2cjzKmRdmForX
Pink Diamond,1.561319,66,4,2,Lacy panicle,Pink,2020-07-01,2020-09-01,July - Sept,8 to 15,8 to 15,Full sun to part shade,Medium,Medium ,Hydrangea paniculata,,https://www.missouribotanicalgarden.org
Pink Lady,1.0919433,18.5,6,3,Mop-like panicle,Pink-white,,,June - Aug,5 to 8 ,5 to 8 ,Full sun to part shade ,Moist but well-drained,,Hydrangea paniculata,Days blooming 2019 data not available; used median,https://www.rhs.org.uk/plants/177821/hydrangea-paniculata-pink-lady/details
Pink Pincushion ,0,2,2,3,Lacy,Pink,,,June - July ,5 - 7.5,5 - 7.5,Full sun ,,,Hydrangea arborescens,Days blooming 2019 data not available; used median,https://mtcubacenter.org/trials/wild-hydrangea-for-the-mid-atlantic-region/hydrangea-arborescens-pink-pincushion/
Pinky Winky,1.1124984,24,9,8,Lacy panicle,Pink-white,2020-07-01,2020-09-01,July - Sept,6 to 8 ,5 to 6,Full sun to part shade,Medium,Medium ,Hydrangea paniculata,,https://www.missouribotanicalgarden.org
Polar Ball,0.6770126,8,4,3,Mop-like panicle,White,,,July - Aug,6 to 8 ,6 to 8 ,Full sun to part sun ,N/A,N/A,Hydrangea paniculata,Days blooming 2019 data not available; used median,https://springmeadownursery.com/plantfinder/polar-ball-39350
Puffer Fish,0.8479627,28,5,3,Mop-like panicle,White,,,July - Sept,3 to 5 ,3 to 5 ,Full sun to part sun ,Average,Easy,Hydrangea paniculata,Days blooming 2019 data not available; used median. Estimated bloom time from season. ,https://www.provenwinners.com/plants/hydrangea/puffer-fish-panicle-hydrangea-hydrangea-paniculata
Quick Fire,1.4234023,26,9,11,Lacy panicle,Pink,2020-07-01,2020-10-01,July - Oct,6 to 8 ,6 to 8 ,Full sun to part sun ,N/A,N/A,Hydrangea paniculata,End bloom time wasn't available online; used our data for that ,https://www.petittigardencenter.com/quick-fire-a-panicle-hydrangea-variety-spotlight/
Quick Fire Fabulous,0.7227412,10,3,3,Mop-like panicle,Pink-white,,,July - Aug,6 to 8 ,5 to 8 ,Full sun to part sun ,Average,Easy,Hydrangea paniculata,Days blooming 2019 data not available; used median,https://www.provenwinners.com/plants/hydrangea/quick-fire-fab-panicle-hydrangea-hydrangea-paniculata
Riven Lace,1.0691665,7,2,3,Lacy,White,,,June - July ,4 to 5,4 to 5 ,Shade,N/A,N/A,Hydrangea arborescens,Days blooming 2019 data not available; used median,https://mtcubacenter.org/trials/wild-hydrangea-for-the-mid-atlantic-region/hydrangea-arborescens-riven-lace/
Ruby / Angel's Blush,1.2143702,31.5,6,3,Mop-like panicle,Pink,2020-07-01,2020-10-01,July - Oct,8 to 12 ,6 to 10 ,Full sun to part sun ,N/A,N/A,Hydrangea paniculata,Exact dates weren't available so used our data ,https://www.monrovia.com/angels-blush-hydrangea.html?srsltid=AfmBOorQcKnkdvItwFKmF1ruxmKdZTR2EsF7335iSOcWRE1LpMs9XAxD
Ryan Gainey,0,1,1,3,Mop,White,,,June - Sept,3 to 4,3 to 4,Part sun,Medium ,Low,Hydrangea arborescens,Days blooming 2019 data not available; used median,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=268004
Seaside Serenade Bar Harbor,0.1500415,11,4,3,Mop,White,,,July - Aug,4,4,Full sun to part sun ,Moist but well-drained,Easy,Hydrangea arborescens,Days blooming 2019 data not available; used median,https://www.monrovia.com/seaside-serenade-bar-harbor-hydrangea.html?srsltid=AfmBOorjBX-ngGMpj2IOO3P2LnuwKPaRge1cPpSIp-Hx4VDT74lDMd2k
Silver Dollar,1.4059249,14,3,3,Mop-like panicle,White,,,July - Sept ,4 to 5,4 to 5 ,Full sun ,Moderate,Easy,Hydrangea paniculata,Days blooming 2019 data not available; used median,https://naturehills.com/products/hydrangea-silver-dollar?srsltid=AfmBOopLf5psua3fxLU4EFq0-ltAXmMKxxJq4vxrsaQsQz3hhXkFV_Pz
Silver Leaf,0.8733112,22,6,3,Lacy,White,,,June,4 to 7 ,4 to 7 ,Part shade,Average to moiste,N/A,Hydrangea arborescens,Days blooming 2019 data not available; used median,https://mtcubacenter.org/plants/silver-leaf-hydrangea/
Strawberry Shake,0.631928,15,9,3,Mop-like panicle,Pink-white,2020-07-01,2020-08-01,July - Aug,4 to 5,4,Full sun to part shade,N/A,N/A,Hydrangea paniculata,Exact dates weren't available so used our data ,https://www.monrovia.com/strawberry-shake-hydrangea.html?srsltid=AfmBOorS12CObULKHM2qOzTYRexOuJVz_6ejDoI829IMDzQKGfBb2NOQ
Strawberry Sundae,1.1696059,37,11,2,Mop-like panicle,Pink-white,2020-07-01,2020-09-01,July - Sept,4 to 5,3 to 4,Full sun to part sun ,Medium,N/A,Hydrangea paniculata,,https://www.southernliving.com/garden/flowers/strawberry-sundae-hydrangea
Sweet Summer,1.4549944,31,4,2,Mop-like panicle,White,,,July - Sept,4 to 5 ,4 to 5,Full sun to part sun ,Moist but well-drained,Medium ,Hydrangea paniculata,,https://shop.arborday.org/sweet-summer-panicle-hydrangea?srsltid=AfmBOoprQWA9nywKj_aCmrC0nY_dBzRMZ_nbRs_UhYo5UPnkLO5vObQU; https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=274640&isprofile=0&pt=4
Tickled Pink,0.9163971,22.5,8,1,Lacy panicle,Pink-white,,,July - Sept,4 to 5,1 to 4,Full sun ,Medium,N/A,Hydrangea paniculata,Estimated bloom time based on season ,https://naturehills.com/products/tickled-pink-hydrangea?srsltid=AfmBOooyK4vUvBE_2EEg8atN8iMZ6X7qVCQwk_aP7t0Axlrhzbc_97SE
Vanilla Strawberry,0.9056212,25,8,3,Mop-like panicle,Pink-white,,,July - Sept,6 to 7,5 to 6 ,Full sun to part sun ,,N/A,Hydrangea paniculata,Days blooming 2019 data not available; used median,https://www.whiteflowerfarm.com/63149-product.html?srsltid=AfmBOorZw8M_zv92mAumxoOuQzlA9bX9M5jvDs7JhNiUl_TZYJXjr4_j
White Diamonds,1.0286422,50,7,3,Mop-like panicle,White,,,July - Sept,4 to 6 ,5,Full sun to part shade,,Medium ,Hydrangea paniculata,Bloom time estimated from season ,https://firsteditionsplants.com/product/white-diamonds-panicle-hydrangea/
White Dome,0.7926512,54,4,3,Lacy,White,2020-06-01,2020-08-01,June - Aug,3 to 5,3 to 4,Part shade,Medium,Easy,Hydrangea arborescens,Days blooming 2019 data not available; used median,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=264083&isprofile=0&
Zinfin Doll,0.5364793,5,3,3,Mop-like panicle,,,,July ,4 to 6 ,4 to 6 ,Full sun to part sun ,Medium,Easy,Hydrangea paniculata,Days blooming 2019 data not available; used median,https://www.provenwinners.com/plants/hydrangea/zinfin-doll-panicle-hydrangea-hydrangea-paniculata
